id,sentence,difficulty
,"TED, ce au des conférences au cours desquelles les intervenants doivent parler pendant 20 minutes sans doivent",B2
,"Si les aujourd'hui. étaient allés plus souvent dans ce musée, il ne seraient dans fermé aujourd'hui.",B1
,je suis je en train de de du lit.,A2
1058.0,"Telle est du moins la représentation métaphorique qu'on s'en fait dans la culture populaire afghane, entre soeurs, copines ou voisines, à l'abri des oreilles masculines indiscrètes.",C1
,Il interroge celle-ci la prétendue affinité élective de celle-ci avec le seul monothéisme.,C1
2148.0,Vous pouvez m'aider ?,A1
,"Voilà le d'en à suivre, finissons-en avec ce décalage inacceptable entre la cuisine d'en et (consommée par une minorité) et la cuisine d'en bas, celle de la majorité silencieuse, débordante et insipide.",C1
,Le massacre est commémoré sur le drapeau de la de de Chicago par sa première étoile rouge,B1
,Bonne semaine et bientôt bientôt Merci beaucoup Lida !,A1
,Jean Jean une une,A1
,"Après fige, ans, l'appareil articulatoire et phonatoire de l'enfant se langues ce qui explique que les adultes ont tant de mal à apprendre les langues étrangères",C2
,"En ces temps où un virus soumet nos existences, déjoue nos projets, crée partout un une d'incertitude, le hasard a voulu que je trouve quelque lumière dans les pages de Pascal sur la ""disproportion de l'homme"" (Pensées, Brunschvicg, 72), ce texte que chacun a lu ""Voilà fois dans sa jeunesse, jamais médité depuis : ""Voilà où nous mènent les connaissances naturelles.",C2
,ça ça vous plaisir que vous soyez venus.,B1
,Tu n'oubliais pas ! la nettoyais en demeure de fond en combles.,B1
,Ils ont fait une à fête à chaque année.,A2
,Les six lourdes sont détenus dans la tristement célèbre prison tristement de Rangoun où de nombreux prisonniers politiques ont effectué de lourdes peines sous les dictatures précédentes,C1
,Je regrette tout de suite qu'il car j'ai peur de associe la langue anglaise à quelque chose de désagréable.,B1
,En la la retraite.,A2
,"Ensuite, suivre l'exemple fruits. viticulteurs qui ont su, eux, se remettre en cause, opérant une réforme qui porte aujourd'hui ses ses",B2
,"Cependant, pour ne ses tomber dans le piège de l'""addiction"" réseaux des anxiétés générées par le smartphone et les réseaux sociaux, il s'agit d'abord d'en prendre conscience pour réguler ses propres conduites et celles des adolescents.",B2
,"Bonjour, un café s'il vous vous",A1
,mais aussi des fraisiers me je me régale et je fais le plein de vitamines J'espère que tu passes de bonnes vacances le Limoges,A2
,La gestion de majeur complexité sera bien le défi le du XXIe siècle.,B2
,J'eus un haut haut coeur lorsqu'il eut osé J'eus saluer.,C1
,"Et puis la France, comme la plupart des pays du monde, doit importer les matières premières inexistantes sur son sol et produits fabrique plus la la des produits sur son territoire",B2
,"La communication numérique offre la possibilité de combler de et besoins existentiels, ""vie et sociaux, difficiles à satisfaire dans la ""vie réelle"".",B2
,Marc Chagall termine ce qu'il pense termine son dernier tableau : Les mariés de la Tour Eiffel.,B2
,En Suisse les personnes physiques peuvent être assujetties à l'impôt et le revenu et la fortune en raison de leurs liens personnels ou leur rattachement économique avec la la,B2
,J'aime bien courir le matin bien le,A1
,À faire il il souvent faire demi-tour,B2
,J'ai peur J'ai noir.,A1
,France vie de France est très différente de celle au Canada.,A1
,"La droite voudrait préserver de restes de notre triple héritage, quitte à les adapter car, disait Churchill, il faut savoir couper les arbres pour que la que soit plus belle.",C2
,Tu es étudiant étudiant Tu,A1
1781.0,Tu pensais toujours à ton amant qui t'avait abandonné sans pitié.,B1
,"Ajoutons, pour parfaire ce tableau, que ces seniors ont de de de science la perspective d'un quart de siècle de longévité supplémentaire traversé en relative bonne santé.",B2
,On a passé le reste de la faire à à les boutiques.,A2
1269.0,"Et vous l'entendez, ce violon qui joue du klezmer, la musique traditionnelle des juifs itinérants ?",B2
2432.0,"Philae, qui s'est posé à l'ombre entre des rochers, a d'abord fonctionné avec une pile d'une durée de vie de 60 heures.",B1
,"Tout à coup une hauteur immense et à ma droite j'ai vu un aigle, l'oiseau de Napoléon droite il volait majestueusement se dirigeant vers la Suisse, et vers conséquent vers Paris.",B2
,Je m'asseoir ici ici ?,A1
,"Il entendit aussi beaucoup de bruit dans la ville ; en effet un grand mouvement s'opérait, trois divisions traversaient B. Quand, sur les onze heures du soir, la femme du geôlier onze partager ses peines, Fabrice fut plus aimable encore que de coutume ; puis, lui prenant les mains : - Faites-moi sortir d'ici, je jurerai ville l'honneur de revenir dans la prison dès qu'on aura cessé de se battre.",C1
,"Bref, première leçon, le québécois n'est pas un français déformé mais plutôt un siècle historique, proche de celui qui était parlé en 17e avant le 17e siècle",C1
,"n chemin, il a Terreaux. admirer la magnifique fontaine Bartholdi sur Terreaux. grande Place des Terreaux.",B2
,J'aime le sport.,A1
,"Pour dissuader ses lycéens de faire d'arts Beaux-arts, l'École histoire cirque ou de se diriger vers diplôme d'arts du spectacle, un proviseur avait coutume de leur raconter cette histoire : J'avais deux copains.",C1
,"""Aujourd'hui ""Aujourd'hui magnifions les robots pour faciliter leur future acceptation sociale"", relève le sociale"", Serge Tisseron de l'université Paris-VII, dans le magazine Les dossiers de la Recherche. Mais cette forte empathie peut avoir son revers.",C2
,fini. fini.,A1
,"Les impôts sur le revenu et la fortune des personnes physiques, sur le bénéfice et et capital des personnes morales des que sur les bénéfices immobiliers sont des impôts directs que les cantons doivent prélever selon la LHID.",C1
,On ne trouve On différence en ce qui concerne la compréhension de concepts abstraits ou dans la résolution de concepts complexes.,B2
,"Si la des des cultures est une condition nécessaire pour des développement humain réussi, alors la préservation de la diversité linguistique est essentielle, puisque les langues écrites et orales sont le principal mode de transmission des cultures.",C1
,"Les fans des costumes de Carrie Bradshaw dans ""Sex and la City"" se régaleront devant les tenues d'Emily, de bérets). même créatrice, Patricia Field (même si on lève les yeux au ciel quand Emily se met à porter des bérets).",B2
,"C'est la saison la plus chaude, pendant laquelle on recommence à mettre ses lunettes de soleil et à aller se à sur la promener",A1
,Les premiers dit nous ne lui elle rien dit et elle n'a parlé à personne.,A2
2709.0,"L'ambitieux a les dents longues mais pour réussir, les ambitieux doivent être prudents et persévérants sinon ils peuvent se casser les dents.",B2
,Les Les ont ainsi voulu montrer qu'ils montrer avaient à l'oeil.,B1
,Ne cherchons de point d'assurance d'assurance de fermeté.,B2
,Je préfère au au Je à vélo,A1
,Ils rentrèrent lac reposer après qu'ils eurent se le tour du lac en chaloupe,C2
,"Les Français ne cèdent pas mais chacun pour soi, mais ils s'intéressent pas à leur cercle familial proche.",B2
,"Quand le téléphone retentissait, on s'empressait on s'empressait immédiatement.",B1
,"Un sapin fraîchement coupé est installé noël la cuisine ou le salon, fraîchement décoré à l'aide de guirlandes colorées et de boules de noël",B2
,"L'effet autocuiseur Si sept millions de citadins rêvent de refaire leur de aux champs, tous ne passent pourtant pourtant à l'acte.",C1
,"Selon l'élue du 1er arrondissement, la coupe dans le récurrentes finances l'opéra répond aussi aux recommandations récurrentes de la chambre régionale des comptes, reprochant l'impact de l'établissement lyrique dans les finances municipales.",C1
,"Envoie le d'accord à tes amis, d'accord message",A2
,En seconde.,A1
,"signes, langues sont un système de signes, signes, en lexique, pour construire des énoncés",C2
,Elle a 84 ans et elle Antibes à a,A1
,"circonstances trône est un siège, une chaise ou un fauteuil sur lequel un souverain s'assoit solennelles. les circonstances solennelles.",B1
,On eût vêtures imaginé un un baroque assemblage de vêtures surannées,C2
,"sentiment collège et au lycée, on pratique l'art de la conversation, celui de la complicité, des petites passions partagées dans un de de légèreté et d'insouciance puisque rien n'est définitif.",B2
,est est votre est ?,A1
,"Le jour de l'An correspond au 1 janvier ; on le fête avec ses amis à sa famille, proches. on souhaite ""bonne année !"" à ses proches.",A2
,Ils pas pas chers,A1
,Ces nouvelles contraintes de mettre un terme au développement de la trottinette,B2
,encore un chien est un bonheur bonheur mais encore faut-il s'en occuper correctement.,B1
,Il n'y a pas beaucoup de voitures donc il de a voitures d'embouteillage,B1
,Pas d'efforts violents et courts mais des efforts violents efforts les jours.,B2
,"Et c'était pas le une image qui me plaisait, comme j'avais l'occasion de pouvoir les forcément j'ai voulu le faire",B1
,Voyager responsable bien mais voyager c'est c'est encore mieux !,B1
,Ce que je sais par contre c'est beaucoup beaucoup de jeunes restent sur c'est carreau.,A2
3402.0,C'est délicieux de l'entrée jusqu'au dessert.,B1
,"La vie en France est très différente de celle celle Canada. Ici, il fait toujours en",A2
,Mais cette initiative suscite réticences. ailleurs de nombreuses ailleurs,C1
,"Étudier la différence entre un langage naturel et un langage informatique, la intéressant quand on informatique, le français.",C2
,Saul Goodman est un avocat les et peut être facilement trouvé avocat les pages jaunes d'Albuquerque.,C1
1274.0,"En étant connecté en permanence à ses amis et en pouvant ""se raccrocher"" à des environnements en ligne familiers, comme sa page Facebook, son compte Twitter ou sa story Snapchat, la personne, éloignée de son environnement familier, ne se sentirait-elle pas alors davantage en sécurité affective, comme dans son foyer où elle a ses repères et habitudes rassurants ?",C2
,La femme a finalement trou. trou. sortir du trou.,A2
,la pluie vient arroser les champs et sauve ainsi la colonie d'un grand malheur,B2
,Je me précipite sur celle terre me devrait s'entrouvrir pour m'engloutir ardente jamais ; je pose ma tête sur la pierre froide qui devrait calmer la fièvre ardente qui me dévore.,C2
,"Le chat, le nouveau ""meilleur ami de ""meilleur",A2
,Ils là Ils,A1
,"La première critique consistera à remarquer que Lafcadio fait reposer son passage à l'acte sur des signes extérieurs, en l'occurrence l'apparition ou la non la d'un feu consistera la campagne",C2
,nous ne nous attendions pas à un tel ne,B1
,"Une appellation introduite en société, très pratique à utiliser dans le cadre des magazines télévisés ou des hebdomadaires de société, puisqu'en société, mots tout est dit.",B2
,"Avec le peinture, faits des dessins des le pot.",A1
,"Florian Florian chargé du programme espèces de l'ONG, rappelle les nombreux enjeux et faunistique qui attendent notre pays, mais aussi le monde, en matière de conservation et de protection faunistique et floristique.",C1
,"Les Français ne cèdent pas au chacun pour soi, mais ils chacun d'abord à leur cercle Français proche.",B2
,On se battait donc On !,B2
,"Je vais Je l'école à Nice, j'habite j'habite à Cagnes-Sur-Mer",A1
,Les changements dans les systèmes alimentaires - depuis le politiques. jusqu'à l'assiette - - aussi de nouvelles politiques.,C1
,Capacités ou Capacités problèmes d'orientation ?,B2
,Dites-moi où cacher. Dites-moi,A2
,"Le sans-gêne, la frime frime sans-gêne,",B2
,Nous voulons surmonter les obstacles judiciaires et techniques qui Nous empêchent d'intercepter les suspects. téléphoniques par Skype entre les suspects.,C1
,battait se battait donc se !,B2
,"Un enchaînement de clichés gênants et agaçants, même d'autodérision. on a beaucoup et",B2
,"toutes fait, en scindant son enseignement supérieur en deux synonyme concurrents, la France a créé une hiérarchie dans toutes les têtes: la grande école est synonyme de réussite, l'université de rebut.",C2
,"Après quelques phrases banales, je d'Ellénore. parlai, en déguisant mon trouble, du départ quelques d'Ellénore.",C2
,es femme ma dit que tu es trés Ma,A2
,Soixante associations de défense possible l'environnement et de solidarité sociale ont mis en garde contre une sociale exclusion de l'obligation de rénovation énergétique des logements dans la future loi sur le climat.,C2
1409.0,Sa voiture rouge est très rapide.,A1
,"Car, en fait, les Français n'ont pas franchement le beau rôle : désagréables, disant non à tout, préférant fumer plutôt que de manger, démarrant leur journée de travail à 10 ou 30, ils sont aussi présentés comme étant les : de l'infidélité, une pratique acceptée de tous, y compris des compagnes ou compagnons trompés.",B2
,"D'ailleurs, tous les personnages masculins croisés par l'héroïne - en dehors de ses les - sont en un rapport de séduction.",B2
,Que restera-t-il à la rentrée des acquis de restera-t-il l'année ?,C2
549.0,"Désolé pour le retard, nous sommes très occupés ce soir.",A2
,Je ne sont où où elles sont,A1
,J'ai conseillé à conseillé soeur d'aller dans d'aller école privée.,A2
,Je travaille chez et le le et l'après-midi,A1
,Ce petit nombre est petit dû à ses expérimentations constantes parfois parfois désastreuses de nouvelles techniques.,C1
,froid froid,A1
,"Et chez vous, comment va comment vie ?",A1
,"A la cinquantaine, les hommes et les femmes éprouvent le besoin en se mettre en question et ils ont suffisamment d'assurance pour faire faire retour sur soi, note la psychanalyste Luce Janin-Devillars (Changer sa vie, Pocket).",C1
,"Ô chants dans l'auto qui vers elle me mènera, vers elle qui m'attendra, vers les longs cils étoilés, ô son regard lorsque j'arriverai, elle sur le seuil son élancée et et blanc vêtue, prête et belle pour moi, prête et craignant d'abîmer sa beauté si je tarde, et allant voir sa beauté dans la glace, voir si sa beauté est toujours là et parfaite, puis revenant sur le seuil et m'attendant en amour, émouvante sur le seuil et sous les roses, ô tendre nuit, ô jeunesse revenue, ô merveille lorsque je serai devant elle, ô son regard, ô notre amour, et elle s'inclinera sur ma main, ô merveille de son baiser sur ma main, et elle relèvera la tête et nos regards s'aimeront et nous sourirons de tant nous aimer, toi et moi, et gloire à Dieu.",C2
3784.0,L'oiseau s'approcha de lui à tout petits pas.,A2
,"Pour recevoir nos votre sur votre boîte mail, inscrivez-vous sur le site de notre sur d'intérim adeki.fr.",B2
,Je occuper. m'en Je,A2
,"Reprochant aux autorités administratives l'absence de politique forestière à long terme, ils profitent de la durée de leurs permis pour Reprochant sans discernement tout ce qui peut se vendre afin d'accroître leurs marges bénéficiaires.",B2
,Tu ne peux pas fait. le Tu que tu lui as fait.,A2
,"Pour aller dans ma chambre, escalier dois chambre, un escalier",A2
,"""Les forces de l'ordre ont tiré balles gaz lacrymogènes, des munitions en caoutchouc tiré des balles réelles"", selon un secouriste.",B2
4021.0,"Je déconseille le blanc, les harmonies de blanc et le côté ivoire",B2
,"Si vous en avez la possibilité, ne laissez pas votre chien longtemps pas la voiture sans surveillance.",B1
,y y a essentiellement a grandes catégories.,B2
4300.0,"Malheureusement, une semaine est vite passée et nous serons bientôt de retour à Paris.",A1
,Vous défi. de l'argent à tous vos amis à cause tous ce défi.,A2
,Folio n'arrive à Folio s'endormir.,A1
,"En cette fin travail. matinée, est jeune chien d'un an et demi, est au travail.",B1
,"Léonard est initié par Verrocchio aux nombreuses techniques pratiquées dans un atelier traditionnel, bien que certains artisans soient spécialisés dans des tâches telles que l'encadrement, les dorures traditionnel, bronze. travail du bronze.",C2
,L'histoire que je vais vous lire et Le s'intitule et le Dragon.,A2
,petite petite fille : comprennent ils [ne] comprennent pas notre langue parce qu'ils [ne] parlent pas,A2
,"Si sept millions de citadins rêvent de refaire leur vie aux champs, tous passent passent pourtant pas à l'acte.",C1
,fini. C'est,A1
,Bradford annonce alors jour alors de remerciement à Dieu,B2
2338.0,"Des sénateurs républicains mais aussi un démocrate s'étaient ouvertement déclarés contre son arrivée au poste de directrice du Bureau de la gestion et du budget à la Maison Blanche (OMB), un service très puissant, notamment chargé de développer le budget voulu par le président.",B2
,"Bruno Bonnell Le vieil adage ""on n'arrête pas le atteindre n'a jamais été aussi vivace. D'autres pays Le en robotique pour atteindre des taux de productivité supérieurs aux nôtres.",C1
,"L'engouement accentué les potagers s'inscrit dans le mouvement du par de l'autonomie alimentaire, un mouvement accentué par cette crise du coronavirus.",B2
,La biographie est une friandise mais le quotidien de l'écrivain public se La des demandes demandes de services ponctuels formulées par les particuliers et les entreprises.,C1
35.0,"C'est le début de troubles qui se poursuivent et s'étendent au reste du territoire tout au long du mois de septembre les fameuses ""Journées de septembre"" amplifiés le refus de Guillaume 1er de considérer les revendications des insurgés",B2
,"Si nous dans bloqués dans l'ascenseur qui s'est arrêté brusquement, établie. appellerons du secours dès que la communication sera établie.",B2
,"Je m'appelle m'appelle et Laurent à Paris avec mes parents, ma soeur ainée et mon frère.",A2
,"Des nattes posées mouton. les tapis permettent de dormir à de le sol dans les tentes, avec ou sans une couverture de laine de mouton.",B2
,maison reste reste la maison,A1
,Je Je sens sens,A1
2550.0,Devenir chêvre,C1
3342.0,Tu as réussi ton examen de maths ?,A2
,"Pour après de cyclistes, la récompense la plusieurs heures de route, c'est la découverte des merveilles architecturales de la région.",B1
,Forestier riait beaucoup de l'aventure ; les deux femmes qu'un que le bavard indiscret n'était qu'un goujat et qu'un indiscret,C2
673.0,"Albert, Folio, venez me faire un gros câlin, je suis si heureux !",A1
,Mon matin. est né né matin.,A1
,Il est tombé malade malade précédant est mariage.,B2
,Y a a beaucoup comme ça ça,A2
,"Les arêtes de ce réseau sont les chemins parcourus, qui esquintent les Les et ; l'allure ; les noeuds se composent des lieux d'accueil, où les vagabonds aspirent au repos physique et moral, mais qu'ils obtiennent rarement.",C2
,n'entrera repos hebdomadaire n'entrera vraiment moeurs les moeurs qu'après la Grande Guerre.,C2
,Mes peines : une peine est un un une une un malheur.,B1
,"Mais elle prenait ses elle dans la quête forcenée que les habitants d'un petit cap tempéré de l'Asie menèrent pour des produits lointains, surtout elle",C2
,leur de une partie de leur douleur,B2
,"Suen (Liebowitz, 2000), sont éloquents sur la dispersion et la variété éloquents modes de mesure de ce type en mesure aujourd'hui dans les entreprises",C2
,"Mais sous les accents harmonieux d'un Schleiermacher, sous la pieuse virtuosité de Tieck accents l'ironie de Schlegel, Hegel discerne aisément le tourment de l'esprit.",C2
,je je vais passer à la poste pour envoyer un colis à passer grand-mère,A2
807.0,Oui ça va.,A1
,"Elle trouvait ça quand finissait par rire, et, s'animant, commençait à trottiner derrière lui, avec de légers cris joyeux et craintifs, quand elle 143 avait finissait le saisir.",C2
,"Après déguisant phrases banales, je lui parlai, en mon mon trouble, du départ subit d'Ellénore.",C2
,Les membres sont au nombre de quatre : nombre en haut de deux en bas.,B1
,Il faut bien faire attention faire à vêtements et à sa coiffure,A2
,Il le aborder la question le faudrait tôt possible afin de prendre les mesures coercitives adéquates.,C1
,Pierre roule roule n'amasse roule mousse,C1
,Je m'appelle Henri.,A1
,Son père se maria quatre fois et lui donna dix frères et deux soeurs légitimes venus et Léonard.,C1
,"C'est pratique pour aller d'un stade commercial à un autre, pour aller à l'école, à la la au stade ou encore au théâtre, parce que la ville est très grande",A1
,"En 1989, alors que le cyclone la frappe la Guadeloupe avec des rafales de vent à plus rafales 300 km/h, le jardin est dévasté",C1
,"Et toi, qu'est-ce que tu vas toi, ?",A2
,Elle a juste miaulé craintivement et et recroquevillée sur sa branche sur elle se trouve.,B2
,s'écria-t-il.,B2
,"Le soir, je me cuche tôt parce Le Le dois être toujours en bonne forme.",A1
,"Les pèlerins partagèrent alors alors célébration avec leurs voisins indiens, et ceux-ci apportèrent alors des dindes cette rôtir",C1
,J'ai perdu mon temps inutilement: inutilement: perdu rien pu faire.,B1
,Vous Vous d'une réduction d'une,A1
,"Le dimanche, nous aimons nous promener en famille dans la forêt proche nous notre maison et la des jeux",A1
,Il y pièces beaucoup de a,A2
517.0,Qu'est-ce que tu regardes ?,A1
,Tu mangeas les eus fruits dès que tu les eus Tu,C2
,Canada Canada se trouve au nord de se,A1
,Les journalistes plus de à en plus de mal à exercer leur métier.,B1
,"A la cinquantaine, les hommes et les femmes éprouvent le besoin de se mettre en et et ils les suffisamment d'assurance pour faire ce retour sur soi, note la psychanalyste Luce Janin-Devillars (Changer sa vie, Pocket).",C1
1002.0,"Les mois de mars et avril passent en accéléré : procès, rendez-vous médicaux, concerts, ballets, devoirs et match de baseball s'enchaînent à une vitesse incroyable, et pendant tout ce temps, le ventre de Chelsea ne cesse de s'étirer.",B2
,"Sous un vieux dépotoir romain, quelques strates plus bas encore, des archéologues de l'Académie polonaise des sciences ont trouvé en bas des en de petits animaux.",C1
143.0,"Force est de constater que l'écart se creuse entre les pays en développement qui, progressivement, sortent de la pénurie chronique, et ceux qui stagnent ou régressent dans leur combat contre la faim.",C1
,"Que Céline, au début de Voyage au bout de la nuit, puisse affirmer début son voyage est au imaginaire, cela est judicieux",C2
,"Il s'arrêtait, se baissait, et, lorsqu'elle approchait, de son petit pas hésitant, il sautait en l'air comme puis diables enfermés boîtes, des boîtes, puis il s'élançait d'une enjambée à l'autre bout du salon.",C2
,Quelle est Quelle profession votre,A1
,La journée n'est pas finie pour Théo n'est doit rentrer à la maison à faire ses devoirs.,A2
3675.0,"Vous pouvez expliquer encore une fois, s'il vous plaît ?",A1
3156.0,"Les maisons neuves, crépies de frais, étaient entourées de jardins potagers où poussaient, mélangés mais alignés, les légumes et les fleurs, les choux et les rosiers, les poireaux et les gueules-de-loup, les céleris et les anémones.",C1
,blanche bave du crapaud n'atteint pas la blanche La,C2
2478.0,"En effet, même si vous ne souhaitez pas acheter quelque chose, il est toujours intéressant de passer du temps dans les centres commerciaux",B1
,"La locomotive, dirigée par le bras d'un mécanicien anglais et chauffée de houille anglaise, lançait sa fumée sur les plantations de cotonniers, de caféiers, plantations muscadiers, de de de poivriers rouges.",B2
,Dès qu'elle entrée cigarette. elle fut dérangée par la cigarette.,C2
1384.0,"Ah oui, exactement comme moi !",A2
,"crime crime immotivé, quel embarras pour embarras police",C2
,devait percevait même les grincements du grillage percevait lequel il devait se lancer de toutes ses forces.,C1
,"il chancelier autrichien a annoncé ne plus vouloir dépendre de Israël. européenne pour la production de vaccins et que, avec la Première ministre danoise, il allait engager des discussions avec Israël.",B2
,dans rocher est une grande masse de la dure qui est enracinée dans la terre.,B1
,J'ai de la chance d'avoir vu le spectacle d'avoir de 500 fois,A2
,"En ville, en y a des magasins, on peut rencontrer facilement d'autres personnes et c'est en ville qu'on trouve les meilleures on pour ses enfants",B1
,tu adroit adroit trop adroit !,B1
4452.0,Débuter la journée par un premier repas organisé autour d'une de ces boissons dopantes que l'on sucre peut sembler passablement anecdotique.,C2
,La corruption se ressent à différents niveaux: si salaires sont si bas que les employés sont tentés d'accepter des pots-de-vin pour approuver des plans d'exploitation qu'ils n'ont jamais vus.,B2
,"L'année dernière, j'ai fait deux dernière, en dernière,",B1
,"Ce Ce il perd de sa soir,",A2
3733.0,Ce commandant mena plusieurs batailles épiques grâce à sa bravour et ses tactiques militaires ingénieuses.,C1
,"Neuf militants de l'ONG, Neuf de jaune ou de blanc, ont escaladé, vers la heures du matin, le grillage du tarmac de l'aéroport et se sont déployés autour d'un avion Boeing 777 de la compagnie Air France, stationné au sol et sans passager à bord.",C1
,Les grands-parents de nos enfants aiment enfants du grands-parents avec nous lors des vacances.,A1
,téléphoné m'a rejoint. et elle m'a rejoint.,A2
,Claude HAGÈGE de Professeur au Collège de France et Directeur d'études à l'École au des Hautes Études,B2
