id,sentence,difficulty
,La nullité des français en français étrangères et particulièrement en anglais est avérée,C2
,Je marchais avec regard au milieu des milieu ; je promenais sur eux un regard dominateur,C2
420.0,"Il faut avoir les compétences, la technologie, pour les fabriquer, ou utiliser des capsules déjà existantes.",C2
,La pour s'était passionnée pour le caractère primitif passionnée pour l'astrologie de l'abbé Blanès.,C1
,Nous les mangeons ensemble soir. samedi soir.,A1
,"Entre-temps, cette inflation a dopé les interactions et donné une place nouvelle à et vis-à-vis des autres ensembles les de l'Ancien Monde.",C1
,maintenant. a dû faire beaucoup de rééducation mais a est presque rétablie maintenant.,A2
4378.0,"A nos esprits plus clairvoyants, il fait valoir seulement cette lueur exquise d'éternité qui gît au fond de toute souffrance.",C1
,"Merci, Monsieur.",A1
,La ville entière s'est passants autour du marché de Noël qui enchante les passants de ses illuminations réchauffant les coeurs dans le Noël de l'hiver,B2
,Il est lui fâché répondu qu'elle ne lui a pas répondu au téléphone.,A1
,Une deuxième balle fit de le pavé à Une de lui.,B2
,"Pour moi, c'est pas du tout frustrant, je suis très très de partir en France suis ça faisait très longtemps que j'avais envie de venir en Bretagne, donc pour moi, c'était une très bonne opportunité.",B1
,"Des grosses parts pour les guerriers et pour Zahor, des Des parts les les femmes et les enfants et enfin les os pour les chiens.",A2
,Il particulier inventer un temps temps pour l'apprentissage.,B1
,Merci beaucoup pour Merci histoire.,A1
,En conduisant un ne vous ne pouvez pas téléphoner.,B1
,littérature les voyages et la les russe.,A1
,rien deux ! jours je ne comprenais rien du tout !,A2
,"Curieusement, l'actuel président du groupe Radio-France ne se souvient pas du débat après l'arrivée de M. Aphatie : beaucoup arrivée n'a pas été critiquée, car il était évident que Jean-Michel Aphatie avait beaucoup de présence à la radio.",B1
,"Et va vous, comment va la Et ?",A1
2958.0,Les canons renversèrent d'abord à peu près six mille hommes de chaque côté ; ensuite la mousqueterie ôta du meilleur des mondes environ neuf à dix mille coquins qui en infectaient la surface.,C1
,"C'est la commémoration, c'est-à-dire la fête anniversaire, de la c'est-à-dire de la Seconde fête mondiale",B1
2606.0,"Ma voiture est très écologique, elle roule à l'énergie solaire",B1
,"Au delà du désagrément esthétique, ces du menacent la moitié des oiseaux marins et au moins 200 espèces de poissons, crustacées et mammifères vivant dans les 200 parce qu'ils confondent ces déchets avec de la nourriture.",B2
,Comment est-ce que je d'une sens éruption J'ai peur d'une nouvelle éruption,A2
,"Enfin, pour être bien visible, un gilet jaune est obligatoire la nuit, moins qui rend utilisateur utilisateur beaucoup moins stylé, forcément",B2
,"Une projet leur projet abouti, ils parlent de liberté, projet de renaissance.",C1
,Le paysage devient tout blanc à cause de la et et de tout glace.,A1
3524.0,"Moi, je veux aller au zoo et à l'aquarium. et manger des glaces.",A1
,"Nous voulûmes donner suite à tûmes requête, mais résoudre dûmes nous résoudre et nous nous tûmes sur les tenants et aboutissants.",C2
,"L'hospitalité est l'action de recevoir une personne chez soi, de l'accueillir L'hospitalité manière bienveillante, de chez loger gratuitement.",B1
,Je te souhaite également tout le meilleur pour souhaite tout année !,B1
,"Et depuis que nous sommes amis : et d'amour d'amour et d'eau fraîche"", ricanent certains dans son dos.",B1
,l'entrée délicieux de C'est jusqu'au dessert.,B1
,L'une s'appelle et et elle a 21 ans et elle s'appelle Ashley et elle a 22 ans,A1
,"Grand, bien fait, blond, d'un blond châtain vaguement roussi, avec une moustache retroussée, qui semblait mousser sur sa lèvre, des yeux bleus, clairs, troués d'une pupille sa petite, des cheveux frisés naturellement, séparés par une raie au milieu du crâne, il ressemblait bien au mauvais sujet milieu romans populaires",C2
,Tu veux venir avec moi Tu soir au concert du chanteur au ?,A2
,Des coutumes similaires ont existé autrefois notamment dans le Finistère : les enfants s'amusaient à s'amusaient des voisinage au moment de la Toussaint pour faire peur aux gens du voisinage,B2
,"Le sigle de est donc une garantie pour le consommateur que la production de lait, le caillage, l'égouttage, le salage, le moulage, le pressage, l'affinage et pour certains le lavage aient bien eu lieu dans la zone géographique de l'appellation.",B2
,"Pour les femmes surtout, Weissman. Régine Lemoine-Darthois femmes Elisabeth Weissman.",C1
,"Il y en avait un qui était un haut compartiment divisé en une centaine de petits vitraux rectangulaires où dominait le bleu, comme un grand jeu de cartes pareil à ceux qui devaient distraire le roi Charles vi ; mais soit qu'un rayon eût brillé, soit que mon regard en bougeant eût promené à travers la verrière, tour à tour éteinte et rallumée, un mouvant et précieux incendie, l'instant d'après elle avait pris l'éclat changeant d'une traîne de paon, puis elle tremblait et ondulait en une pluie flamboyante et fantastique qui dégouttait du haut de la voûte sombre et rocheuse, le long des parois humides, comme si c'était dans la nef de quelque grotte irisée de sinueuses stalactites que je suivais mes parents, qui portaient leur paroissien ; un instant après les petits vitraux en losange avaient pris la transparence profonde, l'infrangible dureté de saphirs qui eussent été juxtaposés sur quelque immense pectoral, mais derrière lesquels on sentait plus aimé que toutes ces richesses, un sourire momentané de soleil ; il était et reconnaissable dans ondulait flot bleu et doux dont il baignait les pierreries que sur le pavé de la place ou la paille du marché ; et, même à nos premiers dimanches quand nous étions arrivés avant pâques, il me consolait que la terre fût encore nue et noire, en faisant épanouir, comme en un printemps historique et qui datait des successeurs de saint Louis, ce tapis éblouissant et doré de myosotis en verre.",C2
,"Chaque fin de semaine, ils partaient fin en ran- donnée dans les Alpes",C1
,activités activités ne manquent pas !,A1
,"monsieur Voilà,",A1
1190.0,"Nous souhaitons favoriser davantage la création et l'ouverture à d'autres publics"", explique Nathalie Perrin-Gilbert.",C1
,Depuis que je suis toute je je je beaucoup,B1
,"L'arme était à mi-hauteur lorsque la louve, comme mue par de ressort, fit un bond la côté et disparut derrière le bosquet de sapins.",C1
,Elle connaissait à présent la petitesse des la la l'art exagérait.,C1
,"Et puis tu me connais, à force de repose tous les soirs, je ne me repose pas beaucoup sortir",B1
,"Honte de devoir leur amour à ma beauté, mon écoeurante beauté chéries, fait battre les paupières des chéries, ma méprisable beauté dont elles me cassent les oreilles depuis mes méprisable ans.",C1
,"Aujourd'hui, avec mes parents et Aujourd'hui, soeur nous partons soeur voyage.",A1
,"En quittant chaque étape, étape, enfants dessinaient le lieu ou une personne qu'ils y avaient avaient",C2
448.0,"Non, je ne le trouve pas !",A1
,"À cette proximité spatiale, s'ajoute une fréquence intense intense du nombre d'événements.",C2
4775.0,Mes parents habitent dans un immeuble près de chez moi,A1
2132.0,"On bâtit une vie de couple différente, plus centrée sur les amis et les activités sociales, témoigne Philippe Wattier, 53 ans, membre du directoire du Crédit foncier.",C1
,Il prend le bus tous bus soirs.,A2
,Les journalistes ont mis la déchets au grand jour sur l'affaire des déchets Les,B2
,"Descendu de cheval, il allait le long des noisetiers et des églantiers, suivi des deux chevaux que le des d'écurie tenait par les rênes, allait dans des craquements du silence, torse nu sous le soleil de midi, allait et souriait, étrange et princier, sûr d'une victoire.",C2
3561.0,"Parfois, cette épreuve se passe mal, entre autonomie et dépendance, entre succès et échecs.",B2
,"Depuis quelques semaines, le gouvernement réformer tente quelques réformer le régime des retraites.",B2
,"et rien vous rendez pas compte, monsieur, j'ai douze ans et demi, et je n'ai rien fait.",B1
,J'espère que vas vas bien et que tes vacances au ski se se bien aussi,B1
,Le rythme d'extinction d'extinction langues a ainsi atteint des proportions sans précédent dans l'histoire : 10 par des à l'échelle mondiale.,C1
,"L'espace, son espace, transplanté sur une île, l'Islande, qui s'étire le confins de l'exil et qui rejoint des rejoint sur le retour.",C1
,"Trois français sur quatre sert favorables à ce que les pensions des fonctionnaires soient aujourd'hui, sur les salaires des dix dernières années et non plus des six derniers mois comme aujourd'hui, contre 25 dans des privé",C2
,"Du haut de la Tour Eiffel, on peut voir voir monuments monuments de Paris",B1
,je ici cuisine je cuisine des gâteaux et des pâtisseries,A2
,"c'est là, là, c'est douleureux.",A2
3323.0,"A l'origine, Bergmann et Sams, qui ont véritablement fait découvrir la méthode, ont travaillé avec des capsules vidéo, donc ce qui suppose un enregistrement.",C2
,On fait aujourd'hui qu'on terminale ce qu'on faisait hier à l'université.,A2
,"Les familles qui continuent de la parler voient diminuer le nombre de leurs interlocuteurs et, le domaine d'usage se voient cela aboutit à la création de diminuer familiaux .",C1
3386.0,L'entrée du journaliste basque dans le monde audiovisuel n'avait donc rien d'évident.,B1
4356.0,"Une dame : Tout le monde aime aller chercher les oeufs. quand y'a pas une poule qui est en train de pondre. [Une poule glousse] Hein, alors on va la laisser pondre, regardez, vous voyez ?",B1
208.0,"Après 22 ans de vie parisienne, cet ancien designer-graphiste a décidé de se consacrer à sa passion de toujours : la cuisine",C1
,qui est se compose du visage et du crâne qui est recouvert de cheveux,B1
3160.0,Nous lisions ensemble des poètes anglais ; nous nous promenions ensemble.,C2
,"Nous parlons français Nous nous sommes dehors, à l'école ou à marché",A1
,y y cours des cours de portugais.,A1
,"Elles établissent cinq au : se mettre au vert, se mettre à son compte, établissent consacrer aux autres, vivre sa passion, partir loin.",C1
,"Beaucoup voient leur nid familial sous un nouveau jour : ""Les appartements parisiens des arrondissements historiques le peut-être plein de charme, mais ils sont historiques trop petits"", se moque le Wall Street Journal.",B2
,"Ce n'était pas très intéréssant, nous sommes partis d'une bout partis heure.",A2
,Versez peu à le les farine dans le mélange oeuf-sucre pour éviter les grumeaux,C1
,Pourquoi il ne ? ne ?,A1
,"S'il fait tenir dans trois cents pages dix ans d'une vie pour montrer quelle a été, au milieu de tous les êtres qui l'ont entourée, lumière, signification particulière et bien caractéristique, il devra savoir éliminer, parmi les menus événements innombrables et quotidiens, tous ceux qui lui sont inutiles, et mettre en lumière, valeur façon spéciale, tous ceux qui seraient demeurés inaperçus pour des observateurs peu clairvoyants et qui donnent au livre sa portée, sa valeur d'ensemble.",C1
,"Fabrice se pour après elle pour la sauver, et tous deux furent entraînés assez jeta",C1
,Le restaurant n'est musée loin du musée n'est Louvre,A1
,"Ils déjeunèrent face à face, se regardant et se le sans cesse, occupés uniquement d'eux, tout enveloppés par le charme si doux tendresse tendresse qui commence.",C1
,Je de de mange,A1
,"À 60 ans aujourd'hui, on Patrice encore devant soi vingt-cinq, voire trente années , explique Patrice Leclerc, responsable du programme personnes âgées à la Fondation de France.",B2
,Nous sommes en vacances chez en amis.,A1
,"Elle signifie ""transmettre à quelqu'un un et qu'on a reçu de quelqu'un d'autre et qui lui qu'on adressé"".",A2
,"Ellénore, un un mot, était en constante constante avec sa destinée.",B2
,Il les faut pas toujours la les demander à la société.,A2
,"Ainsi, parmi écarts de pratique hommes-femmes varient selon le type de ménage : faibles pour les personnes en couple sans enfant (1 point) et pour les personnes seules (4 points), ils atteignent 8 points en hommes-femmes des femmes parmi les couples avec enfants.",C1
1044.0,"Pour chaque histoire, j'écoute l'audio et dans le même moment j'écris ce que je comprends.",B1
,"Mais qu'ils prétendent être les seuls acteurs légitimes pour définir et normaliser le commerce équitable, c'est nier les autres pratiques et refuser le débat avec tous les acteurs de la société civile, ce qui est débat",C1
,porte. J'ouvre porte.,A1
,"Car Joe républicain. et Kyrsten Sinema s'étaient déclarés contre cette mesure précise, menaçant de faire sombrer l'ensemble du plan d'aide qui ne compte pas, pour l'instant, de pas, républicain.",B2
,"Pendant que Simon s'est levé pour la ramasser, le chat s'est ramasser, dans le que",A1
,"Malgré la montée des problèmes liés à l'obésité, la priorité absolue de la FAO reste la lutte contre la faim, car 840 millions de personnes continuent de souffrir chroniquement de sous-alimentation.",C1
,"de nombreux reportages s'arrêtent sur ces pères-là, posant sur eux bienveillance, regard fait de bienveillance, d'admiration et d'étonnement.",B2
,Et mille. étaient plus Et mille.,B1
,Il nous arrive de procéder de cette nous de temps en en,A2
,clés mes trouve pas mes clés de maison.,A1
,"Mais, les partir de ce moment, elle n'écouta plus ; et le choeur des conviés, la scène d'Ashton et de son valet, le grand duo en ré majeur, tout passa pour elle dans l'éloignement, comme si les instruments fussent devenus moins sonores et les personnages plus reculés ; elle se rappelait les parties de cartes chez le pharmacien, et la promenade chez la nourrice, les lectures sous la tonnelle, les tête-à-tête au coin du feu, tout ce pauvre amour si et et si long, si discret, si tendre, et qu'elle avait oublié cependant.",C2
,Et la grande personne était bien contente de connaître bien personne aussi raisonnable.,B1
,"Une appellation introduite en 1972, très pratique à utiliser dans le cadre des magazines télévisés ou des hebdomadaires de introduite puisqu'en deux de tout est dit.",B2
,Ils d'en tellement jolis qu'on a décidé d'en apprendre un d'en coeur.,A2
493.0,Je vous remercie et je vous souhaite une très bonne journée.,A2
,"Loin d'une société oisive, il faut continuer à innover et aider les populations qui risquent de voir qui travail disparaître en les formant à d'autres talents.",C2
,me réponse bouleversa. bouleversa.,C2
,L'impatience : dévorait : à tous les tous je consultais ma montre.,C2
,Cette évaluation atteindrait aujourd'hui les 300 millions de Cette dont 115 millions dans les pays en les,C1
,J'attends votre réponse. À réponse.,A1
,Est-ce que conseillé lui as conseillé de manger dans ce Est-ce ?,B1
1384.0,"Ah oui, exactement comme moi !",A2
,Nous n'eûmes aucun la à retrouver aucun parmi la foule des voyageurs qui convergeaient vers la sortie,C2
,"Contre il mur, il y a une le affiche",A1
,Je ne comprends question. ne question.,A1
,"Pour compenser nécessaire pertes d'eau par transpiration, il être se réhydrater en continu : dans le désert, il peut être nécessaire de boire jusqu'à 10 litres d'eau par jour.",B2
,"ses fais ses devoirs puis prépare le dîner et finalement, elle regarde un film regarde d'aller se coucher.",A2
,"Le temps devient de plus en plus frais, il commence à y avoir de temps pluie et du vent.",A1
,Elle est les par une les de la polémique sur les Centres d'Aide par le Travail.,B1
,chaque rentrais chaque jour en compagnie de mon compagnie,A2
,est-elle liberté est-elle une illusion,C2
,"Et celui-là, ce fut Augustin Meaulnes, que appelèrent autres élèves appelèrent bientôt le Meaulnes. Meaulnes.",C1
,"Je une ai dit, vous une fille bizarre.",A2
453.0,"Avant de boire une tasse de café, il faut faire pousser le plan de café, le récolter, le transporter, l'emballer, le vendre et le préparer",B1
171.0,Je ne trouve pas la rue du marché.,A1
,La Thom de Thom est fatiguée La la longue marche.,A2
,grand nourriture grand n'a pas le droit de partager la nourriture des hommes.,A2
,"Plus qu'à un changement de métier, c'est à métier, changement de vie auquel c'est ces individus.",B1
,La très grande majorité des synonyme Français pensent que le téléphone portable est est de liberté.,B2
,Le maître et le chien doivent bien se connaître le aussi et surtout bien se se,B1
,Je n'aime n'aime n'aime,A1
94.0,Vous avez dit la seule chose intelligente !,A2
,"Bonjour, je un deux kilos de fraises de un kilo de haricots.",A1
,"Mon impatience se changea tout à coup coup timidité ; je m'habillai lentement ; je ne me sentais plus pressé d'arriver : j'avais un tel effroi que mon attente ne fût déçue, un sentiment si vif consenti la douleur que je courais risque d'éprouver, que j'aurais consenti volontiers à tout ajourner.",C2
,Après cette déclaration héroïque elle comtesse ne voulut plus des chevaux ni de la loge du comte N. Mais depuis quinze ans elle était accoutumée à la vie la plus élégante : elle Après à résoudre ce problème difficile ou pour mieux dire impossible : vivre à Milan avec une pension de quinze cents francs.,C1
,J'ai 20 J'ai,A1
,Des parfois armées étrangères sont parfois invitées à défiler sont côtés des armées françaises,B2
,"Pour lutter contre les anglicismes, la usités. générale de terminologie et de néologie recommande des termes français, qui les parfois peu usités.",C1
,pays rentrèrent au pays après qu'ils pays vécu en Europe,C2
,"Pour le mariage mixte, certain. choc culturel est le certain.",B2
,J'eusse notre le le confier en amont de notre conversation avec les investisseurs,C2
,"Darren Star annonce qu'elle est ""inspirée de sa propre histoire d'amour qui dure depuis Paris avec Paris et la culture est",B2
,Un revenu devient donc une nécessité pour que l'Homme une accéder à la désirs d'avoir comblé ses désirs,C2
,"Au fond, une grande écharpe en dentelle de Bruges, d'un jetés considérable, élargissait un voile d'autel, deux ailes déployées, d'une blancheur rousse ; des volants de point d'alençon se trouvaient jetés en guirlandes ; puis, c'était, à pleines mains, un ruissellement de toutes les dentelles, les marines, les valenciennes, les applications de Bruxelles, les points de Venise, comme une tombée de d'une",C2
,Simone doit exercer sa doit pour rester sa,B2
,"Je m'élançais au-devant de la nature, pour la remercier du qu'elle inespéré, du bienfait immense qu'elle avait daigné daigné",C2
,"Dans peuvent situation tout en cherchant d'autres facteurs possibles de maladie, un bilan du taux être ferritine, ainsi que d'autres tests peuvent être judicieux.",C1
,"Le serveur dans Oui, ça commence dans quelques minutes !",A2
,"Elles enragent souvent de cette horloge biologique implacable, mais peut-être sont-elles ainsi mieux préparées qu'eux à vieillir, du moins celles qui ne s'épuisent pas dans une vaine ne de l'éternelle jeunesse.",C1
,faut faut savoir que les étudiants comme les travailleurs attendent ces vacances avec étudiants,B1
,La mer mer toujours calme au calme jour.,A2
,"son se eut révélé son terrible secret, il se sentit soulagé",C2
,Ils Ils beaucoup d'idées,A1
,Ou ce ce qu'elle préfère : je préfère lis des histoires.,A2
,Prenez votre plaisir. laissez-vous guider et surtout prenez du Prenez,B1
,"En 1902, (Wyoming) éviter l'extinction, le parc national de Yellowstone (Wyoming) prend en charge vingt et (Wyoming) bisons : ils deviennent la première espèce animale protégée.",C1
,"aller peut aussi aller au théâtre, dans ou musées ou au cinéma",A1
,"Pour y continuez descendez à la la musée du Louvre, prenez à droite et continuez tout droit",A1
,"Faits divers, faits ""d'hiver"" alors qu'on est qu'on printemps, faits divers alors qu'on est au printemps - ""d'hiver""",C1
,"Il beaucoup a beaucoup choses choses à faire à Paris, crois-moi.",A1
,"En les mélangeant, on peut former d'autres couleurs. Le vert par mélangeant, est la couleur de l'herbe et former feuilles des arbres.",B1
,"Ça nous a donc coûté a l'argent, s'énerve-t-elle.",B1
,Le chien animaux. de de rencontrer d'autres animaux.,B1
,Il y a un quartier très agréable pour aller très balader,A1
,Merci beaucoup pour toutes le belles histoires que je trouve très très pour améliorer pour français.,A2
,"Nicolas va se marier, pour Nicolas deuxième fois.",A1
,"Elle est chanteuse, Elle elle est malienne.",A1
,Le sont critiqués. frime sont critiqués.,B2
,"dans tristement révélateur, dans sa lettre de félicitations à Barack Obama pour sa réélection, François Hollande a écrit ""friendly"" pour ""amicalement"" : c'est tout simplement un dans",C2
1206.0,Mon mari a enfin trouvé une place d'architecte et travaille sur un important projet d'immeuble avec son équipe,B1
,Lis un un pour un plus calme.,A2
,"Pour d'autres, pas Pour pas",A2
,La de de Mme Gaudé a fait une pièce de et en anglais et la classe de M. Prêche a présenté un spectacle de danse.,A2
,Où se trouve le se,A1
,"Au regard des défis posés à la société multiculturelle, le couple mixte se présente comme un laboratoire intensif (de tous les instants) d'échanges, d'analyses, de synthèses, capable d'imaginer des solutions originales applicables à un intensif individuel mais susceptibles d'inspirer les politiques collectives ou originales certains cas d'être transposées à l'échelle de la société.",C1
,"Appuyez sur le bouton ""Marche"", Appuyez bas à droite de droite machine.",A2
,"La société m'importune, m'importune, solitude La",C2
,"Après la du de Napoléon, certains personnages puissants à Milan firent assommer dans chute rues le comte Prina, ancien ministre du roi d'Italie, et homme du premier mérite.",C1
,C'est auprès de son quelqu'un que Grégoire trouvera le courage de C'est pour devenir quelqu'un et grandir tout simplement.,A2
,Qui est déjà monté à à Qui,A2
,"""Le démon partit bien vite, et il se précipita dans le trou, où, hélas, il retrouva vite, méchante femme.",B1
,"Toutefois, ce système répond à des critères précis et exigeants, il compatibles avec le à à grande échelle auquel il est appelé.",C1
,Je sais en faire depuis que je Je très sais,B1
,"Par ailleurs, Platon, dans Protagoras, relate l'apparition de de technique, et donc du travail, chez les Hommes Platon, ""le mythe de Prométhée""",C2
,"fameux d'abord, d'où vient québécois fameux accent québécois",C1
,"Et ce qui se Et nous tout d'un coup, nous pensons notre assiette.",A1
,"fond, le fond, tout le monde est d'accord.",B1
,Que Que bonheur !,A2
,sait nom. écrire son nom.,A2
,Claire un un cours intensif d'espagnol dont elle cours contente.,B2
,Comme un rappel du massacre des siècle 60 millions de bisons orchestré à la fin du XIXe siècle pour venir à orchestré des Peaux Rouges.,C1
,Disons que la coopération fait partie élèves. l'arsenal partie des élèves.,C1
,Tu l'appelles chaque jour réponse. te qu'il te donne une réponse.,B1
,"Malgré cela, des protestataires continuent à descendre dans les rues pour demander le les des généraux putschistes et la le des centaines de détenus emprisonnés ces dernières semaines.",C1
,Dieu annonce alors un jour de remerciement à Dieu,B2
,"J'aimai, je respectai mille fois plus mille je qu'elle se fut donnée.",C2
,"en explore souvent les possibilités de mise en forme des données et des statistiques pour illustrer une réflexion, un point de vue pour pour dénoncer l'absurdité qui consiste à tout traduire par des statistiques",C1
,J'ai eu soif et j'ai J'ai un café,A2
,"Elle entend le clapotis de vagues, le cri des enfants qui au la sirène d'un bateau clapotis au port.",B1
,Je vais sécurité. la porte à Je par sécurité.,A2
,"Le les des dépenses électorales est plafonné, sous réserve d'aménagements dépenses les circonscriptions particulières.",C1
,"Elle mit vivement son chapeau à plumes, sa mit et elle cape en silence sans ajouter le moindre mot.",B2
,"sa sa nouvelle cadette, de quatorze ans sa cadette, il dit ""vivre une renaissance"".",C1
,"Non, moi plus plus moi ferai des marionnettes comme mon papa.",A2
,Je Je parle,A1
,Il est très fâché parce parce ne lui a pas répondu au téléphone.,A1
,Ils de déjà les de les ramener chez eux.,B1
,"Envoie le Envoie message tes amis, d'accord ?",A2
1673.0,J'ai bien aimé le film,A2
,ses ne peut pas voler et partir avec sa famille et ses amis vers ses pays chauds.,A2
3669.0,"Clara a bu de l'eau, son frère a bu un verre de vin",A1
3424.0,"C'est pratique pour aller d'un centre commercial à un autre, pour aller à l'école, à la piscine, au stade ou encore au théâtre, parce que la ville est très grande",A1
,"C'était une chétive créature, une masse entre-closes, chair ridée, avec des paupières une des traits informes et à peine ébauchés.",C2
,"lycéens, y a des mouvements sociaux en France, la présence des jeunes, étudiants et des est souvent déterminante.",B2
,"D'abord, je préfère quand il ne fait pas trop chaud, et j'adore la lumière dorée des pas journées d'automne",A2
,Les parents de Les se sont organisés pour se devoirs des enfants.,A2
,Voilà qui serait en Voilà de nature à simplifier sensiblement de et controverses.,B2
,"S'ils vont S'ils cinéma pour l'avant-première, ils verront le dernier film de ce réalisateur de notoriété S'ils",B2
109.0,"Même l'ambassadeur birman aux Nations unies, Kyaw Moe Tun, a rompu de manière spectaculaire avec les généraux putschistes la semaine dernière en appelant à ""mettre fin au coup d'Etat"".",C1
,"Pour y aller, descendez à la Pour musée du Louvre, prenez et droite et continuez tout droit",A1
,Le trentenaire prendra sa petits dans la mosaïque de prendra écrans.,C1
,J'attribuais à son charme cet effet presque magique : encore aurais joui plus complètement encore sans l'engagement envers j'avais pris envers mon amour-propre.,C2
,"Je pouvez cette adresse, vous pouvez m'aider ?",A1
,"Maintenant n'ai je le connais, je n'ai plus peur plus",A2
,Je ne sais pas ; pas assez peut-être ; pas assez en tout cas.,A2
,"Honte beauté devoir leur amour à ma beauté, mon écoeurante beauté qui fait battre les paupières des chéries, des méprisable beauté dont elles me cassent les oreilles depuis mes seize ans.",C1
,"L'ambitieux a les dents longues mais pour réussir, les les doivent être prudents et persévérants sinon ils ambitieux se casser les dents.",B2
,Merci beaucoup pour toutes le belles utiles que je trouve mon utiles pour améliorer mon français.,A2
,Qui le arrêté le policier voleur ?,A1
4411.0,On ne se comprend pas du tout.,A2
,Le journal n'a pas expliqué comment ce comment s'est évadé.,B1
,"Côté les pas de fulgurance non plus, l'évolution des personnages et les rebondissements pas rien d'original.",B1
,Bien sûr que tu que tu aller.,A1
,Je vous vous de vous taire !,A2
,"Pour courir le moins de risques abbé il chargea le bon abbé Blanès, curé de Grianta, de faire de Fabrice ses études en latin.",C1
,Il agite Il petit nez rose quand il me voit Ma grand-mère fait des gâteaux tous les son,A2
,La femme faisait tout femme mari son mari lui demandait.,B1
,"Pour la première fois, après Pour jours de fureur, Fabrice comprit le fin mot de qui ce qui lui arrivait.",B2
,"dégobille la défaite électorale, Trump dégobille allègrement sur le système électoral, parle de fraude et d'irrégularités, comme si elles étaient monnaie courante.",C2
,"Deux Mulets l'argent l'un d'avoine chargé, l'autre portant l'argent de la Mulets",B2
,Le corgi l'allure l'allure d'un petit corgi,A2
,Je me contenais à peine lorsqu'un autre que moi s'entretenait à part avec Ellénore ; me brusquement part entretiens.,C2
,"Dans un lieu public, de des sondés considèrent même qu'un excès de bruit peut entraîner de la tension, de l'agressivité qu'un de la violence.",B1
,Une petite fille : Là ils [ne] comprennent pas notre langue Une qu'ils ils parlent pas,A2
