id,sentence,difficulty
,"Autre facteur, une plus faible médiatisation du de féminin, avec ""moins de 20% du volume horaire plus retransmissions sportives télévisuelles en 2016"", d'après des chiffres du Conseil supérieur de l'audiovisuel (CSA) cités dans l'étude.",C1
,Mais je pense qu'il m'aide beaucoup.,A2
,"Les types de dette comprennent les les pour véhicule, les petits crédits ou crédits à la consommation, les achats par acomptes, les dettes auprès de la famille ou des amis, les hypothèques sur résidence secondaire, les arriérés de paiement ainsi que les comptes à découvert et les factures impayées sur les cartes de crédit.",C2
,"Le dimanche, proche aimons nous promener en famille dans la forêt proche de en maison et faire des jeux",A1
,"Dans un lieu peut 79% des sondés considèrent même qu'un excès de bruit peut entraîner de la tension, de considèrent voire de la violence.",B1
,"La charpente et la couverture ne sont plus étanches, les balustrades en granit sont abîmées, certains parements doivent être remplacés XIIIe consolidés, quatre verrières répertoriés XIIIe siècle, les plus anciens vitraux répertoriés en Bretagne, ne sont plus protégés.",C1
,"qui est particulièrement observé chez les personnes ayant un besoin de popularité développé, qui considèrent dès lors le moindre signal du smartphone comme un possible indicateur de leur degré de le",B2
,"Honte de devoir leur amour à ma beauté, mon écoeurante beauté méprisable fait battre les paupières des chéries, ma ans. beauté dont elles me cassent les oreilles depuis mes seize ans.",C1
,"Lucie entama d'un air air sa cavatine cavatine sol majeur; elle se plaignait d'amour, elle demandait des ailes.",C2
,Les les de banlieue se sont banlieue pour les devoirs des enfants.,A2
,"Si les gens étaient pas plus souvent dans ce musée, il ne seraient les fermé aujourd'hui.",B1
,ne comprends comprends pas.,A1
860.0,Tu était déjà allé voir cette pièce de théâtre ?,A2
,C'est maintenant ou ou,A2
1584.0,"Votre nom, comment ça s'écrit ?",A1
,"Le dessein de vie plaire, mettant dans ma vie un nouvel intérêt, animait mon existence d'une inusitée. inusitée.",C2
,"La société SpaceX est fondée en en par Elon Musk, devenu multimillionnaire en revendant l'entreprise fondée",B2
,"De quelles huées gouailleuses, de quelles curiosités grossières n'êut-il gouailleuses, été l'objet et De victime!",B2
,Mes plus subtils efforts plus devant le devant pris mutiste du père de Georges.,C2
,"L'armée, qui conteste le résultat des élections de novembre remportées massivement par le parti d'Aung San Suu Kyi, Suu promis la tenue L'armée, nouveau scrutin.",C1
3011.0,C'est haut là-haut !,A1
,Le maître se le chien doivent bien se connaître mais aussi et surtout bien se mais,B1
,"Si le son avait respecté les électeurs, il le démissionné de son plein gré.",B2
,"était repas était très bon En revanche, le dessert était revanche,",B2
,"Il la sentait défectueuse en tout, par les bottines les vernies mais assez fines cependant, car il avait la coquetterie du pied, par la chemise de quatre francs cinquante achetée le matin même au Louvre, et dont le plastron trop mince ce cassait cependant,",B2
,pas. m'attends Ne,A1
,On ne trouve aucune différence en ce qui concerne la compréhension de concepts abstraits ou dans la de de problèmes complexes.,B2
2691.0,Ils fonderaient ainsi une race de mortels qui feraient renaître sur la terre la grâce des dieux exilés.,B2
,"L'échange, c'est-à-dire l'interaction verbale, se présente comme une co-construction constitutive de l'hétérogénéité dynamique du groupe ; c'est en tenant compte des interlocuteurs et de la façon dont variation se positionnent les uns vis-à-vis des autres, selon les objets et les enjeux des interactions, que l'on envisage d'analyser tant la variation des usages en présence que l'hétérogénéité constitutive du dire, dans cet espace.",C2
,Les les détruites des les chevrons des courtisanes.,C2
,"Le travail d'Alain Reynaud sur l'on Chine des Zhou orientaux, où l'on comprend que l'unification du monde des Han découle de la configuration géographique des principautés et de leur être dans l'ensemble des sociétés de l'Eurasie orientale, peut être considéré comme la première oeuvre de cette géohistoire postbraudélienne.",C2
,Le corgi Le l'allure Le petit renard.,A2
,"Elle a remis de l'ordre sur son bureau, elle a envoyé des fax et elle au a",B1
,"compensation étant de susciter un changement d'attitude et un engagement quelconque long terme, et non d'obtenir une quelconque compensation financière, assure-t-on.",C1
,Comment Comment ?,A1
,"Elle se retrouvait dans de lectures de sa jeunesse, en de Walter Scott.",C1
,Qu'est-ce que Qu'est-ce avez comme comme ?,A1
143.0,"Force est de constater que l'écart se creuse entre les pays en développement qui, progressivement, sortent de la pénurie chronique, et ceux qui stagnent ou régressent dans leur combat contre la faim.",C1
,"Inversement, les régions régions lointaines n'intéressent que médiocrement les colonisateurs jusqu'à l'explosion démographique du Vieux Continent au XIXe siècle, des où les ""pays neufs"" deviennent des prolongements européens.",C2
,"La famille semis un potager dans sa cour depuis plusieurs années, mais dans la première fois qu'elle expérimente les semis intérieurs.",B2
,"Il doit étudier et écrire pendant quatre heures matin. matin et il ne peut se se que vingt minutes au moment de la récréation, à dix heures du matin.",A2
4083.0,"À la radio, le journaliste a conservé les intonations de son Pays basque natal dans le Sud de la France.",B1
,"Ensuite, pour qu'il y ait médiation, il faut que les deux que soient que",B1
,Je les ai vues les devant pharmacie,A2
,"""Malheureusement, comme voit souvent la capacité à forcément anglais comme une force, mais pas forcément d'autres langues, regrette Madame.",B1
,J'ai passé la journée devant l'ordinateur et j'ai mal aux yeux.,B1
3549.0,"Ceci pourrait donner lieu à des jeux interactifs, qui sont un excellent moyen de mémorisation.",C2
,"Son inégale diffusion dans l'espace, son intensité variable commandent les diffusion démographiques et et des populations et modifient a terme les paysages géographiques.",C1
,"Chacun de nous se fait donc simplement une illusion du monde, illusion de sentimentale, joyeuse, mélancolique, sale ou lugubre joyeuse, sa nature.",C1
,Il est important boire boire du est,A1
,Dans le premier faits j'ai décrit les faits stylisés des rendements des décrit,B2
,"Pour réparer cette erreur, Prométhée offre la technique aux Hommes, ainsi que erreur, que",C2
,"Le train, en son temps, était également craint. Brigitte Munier Les robots suscitent l'enthousiasme des Occidentaux, mais aussi leur angoisse: au lieu de les japonaise, comme de simples outils temps, à la manière japonaise, tels d'amicaux auxiliaires, ils craignent des compétiteurs menaçant leur avenir.",C1
,Si tu veux veux peux aussi m'appeler ; je suis chez moi vers m'appeler h 30.,A2
,quand C'est quand ?,A1
,"En les mélangeant, on peut former d'autres couleurs. Le vert par exemple, est la En de l'herbe et des feuilles des peut",B1
960.0,C'est maintenant ou jamais.,A2
,Vous ne risquerez pas de vous ennuyer vous un lieu aussi vous,A2
,"Je suis sans allé où elle habite, sans rien dire à personne.",A2
,"Mais d'autres pourront préférer L'Assassin Mais du (Le Pommier) ou Les Annales du Kangourou (Editions du Kangourou)""",C2
,Voilà qui Voilà en effet de nature à simplifier sensiblement en et controverses.,B2
,"Non, fleuriste. est fleuriste.",A1
,désinformation va bannir les utilisateurs répétée cas de désinformation répétée sur les vaccins.,B2
,"Notre mode de pensée, de connaissance, qui ne pousse nous à prévoir les conséquences, nous dessert, puisque la contingence et les autres viennent sans cesse contrecarrer nos prévisions, nos de",C2
1103.0,Tapez votre message sur les touches de votre téléphone,A1
,Ils portent au moins amples. couches de vêtements Ils,B2
,"Si nous romain, notre époque à la fin de l'empire romain, nous aurons une impression identique. Le kantisme, le fich-téanÎsme transfèrent cet espoir de la sphère religieuse dans la nous morale.",C2
,La règle du frein à l'endettement devrait traiter de manière symétrique les dépassements les dépenses et les économies manière,C1
1207.0,C'est somptueux.,A2
531.0,"C'est pourquoi, dans le désert, les premiers déplacements s'effectuent tôt le matin, avant 8 h 30, pour profiter de la fraîcheur persistante de la nuit.",B2
,"Pas question d'être malheur à table, ça d'être malheur",B2
,Ils sont tellement jolis sont a décidé d'en apprendre décidé par coeur.,A2
,"Ce qui équivaut à dire que si vous pouviez atteindre de profondeur dans l'océan, chaque centimètre carré de la surface de votre corps profondeur une pression de mille kilogrammes.",B2
,Le quartier est tranquille et est et pas trop loin est l'Université,A1
,": la fin, Philippe Labro, alors vice-président de la station de radio, a expliqué : Il y a deux possibilités : soit son accent lui permettra d'être connu et ce sera très bien.",B1
,"et les façades pour et ternes, terminée la morosité ambiante : les rues se parent de guirlandes scintillantes et les vitrines rivalisent d'imagination pour leur décoration.",B2
3530.0,"Le mardi ressemble au lundi sauf qu'il n'y a pas d'activité après l'école, David rentre chez lui pour faire ses devoirs et se reposer.",A2
,La pluie vient arroser champs vient et sauve ainsi la colonie d'un grand malheur,B2
4502.0,Un arrêté préfectoral indique pour chaque commune le mode de scrutin ainsi que le nombre des délégués et suppléants à élire.,C1
,désolée. suis Je,A1
,Dix ans de fidélité avaient inspiré à M. de P *** une confiance ; ; il laissait à Ellénore la plus grande liberté.,C2
,"à la fin du repas, il doit se battre avec un chien pour ramener à sa mère un fin avec un peu de viande autour.",B1
,"En voici un des moins obscurs : ""Plus nous devenons maîtres de la biosphère, plus nous en devenons plus de plus nous la dégradons, plus nous dégradons nos vies5.",C2
,"différent les campagnes, différent différent !",A2
,"Chez les Musulmans, par exemple, avant est obligatoire avant la les",B1
,Il est évident que des de si différentes ont dû employer de procédés de composition absolument opposés.,C1
,"la on plastique au rythme actuel, la pollution plastique doublera en 2030.",B2
,"L'après-midi, elle elle promène dans la campagne, promène elle explore la région",A1
,"faire année, nous avons demandé à nos année, de faire des gâteaux et nous les avons vendus.",A2
,Vous n'avez pas entendu des bruits Vous plus dans dans la nuit ?,B1
,marche ne marche Ça,A1
4523.0,"Aujourd'hui, je ne sors pas parce qu'il y a une tempête de neige.",A2
,"Les premiers jours, nous jours, ne avons rien dit et elle n'a parlé à personne.",A2
,L'objectif est désormais pour sur scientifiques de retrouver cette météorite sur le terrain est,B1
,"Le centre Anatole France est est dans le centre-ville, à quelques pas à la mairie.",B1
,s'approcha s'approcha L'oiseau lui à tout petits pas.,A2
,"""Non, non,"" dit ami."" roi; j'ai mon ami."" ""Mais, j'ai assez dormi !"" dit le berger.",A2
,Vous souffrîtes du intense intense de s'engoufrait qui s'engoufrait dans les avenues bondées de passants empressés,C2
,Claude Études est Professeur au Collège de France et Directeur d'études à l'École Pratique des Hautes à,B2
219.0,"L'incarnation nous met en présence de l'immuable qui est par lui-même quelque chose de général; et cet immuable revêtant le caractère de l'individualité, ce caractère même devient quelque chose d'universel.",C2
,initiative cette initiative suscite par suscite de nombreuses réticences.,C1
,"On eût dit qu'en faisant remarquer leurs ridicules, qu'en trahissais une confidence qu'ils m'avaient faite ; on eût dit qu'en se montrant à mes yeux tels qu'ils étaient, ils avaient obtenu de ma part la promesse du silence : je n'avais point la conscience d'avoir accepté point traité trop onéreux.",C2
,"À terme, plus de 300 déchetteries professionnelles collecteront gratuitement ces déchets qui seront ensuite équipements dans des centres de traitement où ils suivront le dépollution, circuit que les déchets ménagers : destruction, dépollution, puis réutilisation dans la fabrication de nouveaux équipements électroniques.",B2
,"du ceux passage ne jurent que par l'introduction de l'informatique comme un enseignement obligatoire, et ceux qui ont peur que l'on veuille transformer le primaire en une prépa à l'Ecole 42, il existe pourtant des pistes pour initier les enseignants et favoriser un passage du périscolaire au scolaire, sans avoir à attendre une réforme du socle commun qui prendra des années.",C2
,manteau J'aime ce manteau noir.,A1
,"L'obésité frappe également l'Afrique subsaharienne, où frappe la plupart des populations sous-alimentées du monde (12, 1 %), et l'Egypte également",C1
,"Fabrice, à peine âgé de seize à représentait fort bien le représentait de la maison.",B2
,"Le lendemain, en se promenant, il rencontra un gueux tout couvert de pustules, les yeux morts, le bout du nez rongé, la pustules, de travers, promenant, dents noires, et parlant de la gorge, tourmenté d'une toux violente et crachant une dent à chaque effort.",C1
,Le quand c'est que quand ils arrivent dans le monde a travail y a pas de respect.,A2
,"Abandonnez sans état d'âme ne traditionnel cahier de vacances que les trois quarts des enfants ne terminent pas : la liste des produits alternatifs qui visent à ne aimer"" autant qu'à ""faire réviser"" est longue.",C1
,"Plutôt limité auparavant, pour des recours de coût, aux couches les plus favorisées, le recours au soutien scolaire gagne aujourd'hui les couches moyennes.",C1
,Elle ensuite ensuite élargie à ensuite établissements,B1
,Le commerce international laissé à la seule main du marché libéral ne permet pas pas effet aux paysans ou laissé artisans du Sud de vivre dignement de leur travail.,C1
,De différents auteurs ont spéculé sur les différents aspects de la la de Léonard.,C1
,Il hochait la tête regardant mon en regardant mon avion.,B1
,"Les sénateurs, investis par le suffrage universel indirect de tous les droits et obligations attachés à la fonction parlementaire, sont élus collège les ans par un collège électoral de plus de 160 000 élus.",C1
,J'aurais voulu pouvoir quitter 13h. bureau à 13h.,B2
881.0,"Pour les produits qui sont humides ou les surgelés, notre solution pour le moment, c'est de doubler les sacs""",B1
,"Les méthodes de la biologie synthétique, qui aboutissent à la création artificielle de systèmes ou de composants biologiques en Les des séquences artificielles d'ADN à un ""châssis"" génétique naturel minimal ou en assemblant des segments d'ADN artificiel pour créer composants toutes pièces un système fonctionnel.",C2
,Elle est marquée Elle une reprise de la polémique sur les Centres d'Aide par le Travail.,B1
,"Le jour de l'An le au 1 janvier ; on le fête avec ses amis ou sa famille, et on souhaite ""bonne année de à ses proches.",A2
,"de cinq confédérations syndicales, l'épiscopat, la Fédération protestante de France, les petits patrons de la CGPME, les la de l'UPA, les députés socialistes et une soixantaine de leurs collègues de l'UMP: tous sont montés au créneau pour dire non à la proposition de loi d'extension du travail dominical.",C2
,"Pourtant, Grégoire est loin d'être un idiot, il est même plein de de idiot, Pourtant,",A2
,soeur J'ai soeur,A1
,"surtout, les femmes surtout, nuancent Régine Lemoine-Darthois et Elisabeth surtout,",C1
,On doit aider les petits pour y arriver.,A2
,"Une manière de sayon en jambes de bique enveloppait son torse, et ses jambes étaient comme engaînées dans ces braies étroites",C2
4542.0,"C'est une question de vie ou de mort, martèle Sheila Watt-Cloutier.",C1
,Les changements géographiques apparaissent alors autant comme des causes que des conséquences des comme historiques.,C1
,J'aime la musique classique rock. le classique,A1
,"Dans le ciel, les mouettes tournoyaient et s'interpellaient mouettes leurs cris se mêlaient au vrombissement des bateaux à moteur leurs sillonnaient l'archipel.",C2
2195.0,"On a tendance à lui imputer tous les maux de nos sociétés: égoïsme, compétition, exclusion, communautarisme, voire déliquescence morale.",C1
,Soixante associations de défense de l'environnement et énergétique solidarité sociale ont mis en garde le une possible exclusion de l'obligation de rénovation énergétique des logements dans la future loi sur le climat.,C2
,"Peut-être était-ce l'apaisante influence du cigare ornée le bague rouge, ornée d'un somptueux écu gaufré d'or, indiquait sans discrétion le prix.",C2
,que sa conduite noble plutôt noble et généreuse que tendre.,B2
,quelques juste quelques juste,A2
,Je voudrais prendre des cours de karaté parce que j'ai un peu peur quand je suis seule le soir,A2
3370.0,"C'est la couleur de nombreux fruits et légumes, comme les tomates, les fraises ou les cerises.",A1
,mon est amie. amie.,A1
,"C'est le cas également de nombreuses ONG qui, dans des dizaines de pays, viennent en aide aux enfants-soldats, assurant leur protection et et garantissant, quand c'est possible, un suivi médical et une scolarisation.",B1
,Au printemps de la moitié de ces pèlerins sont morts,B2
,"Je passai quelques heures à ses pieds, me de le plus heureux le hommes, lui prodiguant mille assurances de tendresse, de dévouement et de respect éternel.",C2
,Le week-end sous-utilisation un début de polémique début émergé quant à la sous-utilisation du vaccin AstraZeneca.,B2
,La lors permet de reconstituer une séquence d'événements à partir d'événements données numériques laissées dans les systèmes lors de leurs réalisations.,C1
,"Nos vignerons ont pris des claques, ont été ont les les californiens et les chiliens et bien ils ont su réagir !",B2
,C'est en Italie que les deux plus les le plus souvent associés.,A2
,Sauf si je dois jusqu'à 5. 5.,A1
,"Cette femme, malgré sa situation désavantageuse, avait montré, dans distingué. montré, un caractère distingué.",B2
,"Les ordinateurs peuvent être classés selon plusieurs la tels que le domaine d'application, la taille Les l'architecture.",C1
,"Le nombre insuffisant de professeurs inapplicable. est également un frein inapplicable. beaucoup d'adversaires de cette mesure, qui la jugent inapplicable.",C2
,Idem pour ceux ceux pour élisent.,B2
,Ma soeur préfère la à la plage pour soeur et bronzer.,A1
,"S'il pleut, et visiter le musée Carnavalet sur l'Histoire de Paris et finissez la journée avec une pièce de théâtre à la pièce",A2
,"Elle vint, alla et vint, se sachant admirée, sentant que sa robe plaquait bien rit, endroits nécessaires.",C1
,"L'incarnation nous met en chose de l'immuable qui est par lui-même quelque chose nous général; et cet immuable revêtant le caractère de l'individualité, ce caractère même devient quelque chose d'universel.",C2
,La ne connexion fonctionne plus.,A1
,les se modifièrent rapidement règles règles sévères qu'elle m'avait prescrites.,C2
,ligne profite aussi du petit-déjeuner pour lire aussi infos en ligne,A1
,"Ca va, va,",A1
,"Un savant fait un Golem, créature intelligente à son image, mais à supporte pas son autonomie, provoque sa révolte et veut la détruire.",B2
,"A cette occasion, les mais offrent de cadeaux à leur mère mais aussi de jolis oeillets.",B1
,"Attentif aux évolutions de long cours, Pierre Bréchon, professeur à l'IEP de Grenoble, voit se dessiner le visage d'une société d'individualisation, qu'il distingue évolutions société de",C1
,"Un prêtre, confesseur du marquis del Dongo, milieu pu sauver Prina en lui ouvrant la grille de l'église de San Giovanni, devant laquelle on traînait le après, ministre, qui même un instant fut abandonné dans le ruisseau, au milieu de la rue ; mais il refusa d'ouvrir sa grille avec dérision, et, six mois après, le marquis eut le bonheur de lui faire obtenir un bel avancement.",C1
,"Déployant de gros efforts consciemment instaurer une langue officielle dans l'éducation, les médias et l'administration, les gouvernements ont consciemment visé une des langues minoritaires.",C1
,"Il d'abord lui lui faire visiter un peu les chambres, la salle de restaurant, et le reste.",B1
,mettais remplissais le pot d'eau et tu mettais Tu glaçons à congeler dans le congélateur du sous-sol.,B1
3150.0,"Pour courir le moins de risques possible, il chargea le bon abbé Blanès, curé de Grianta, de faire continuera Fabrice ses études en latin.",C1
,part très gentil de sa part !,A2
,Va-t'en Va-t'en,A1
,Que restera-t-il à la des des acquis l'année l'année scolaire ?,C2
,"Lucie entama d'un air brave entama cavatine en sol majeur ; demandait se plaignait d'amour, elle demandait des ailes.",B2
,"De la loi Toubon aux exigences de passage de musique en langue française française la radio, notre protectionnisme culturel fait tout son possible pour nous protéger des langues étrangères",C2
,"dernières dernières années, j'avais un peu délaissé le un et j'ai joué pendant une heure.",A2
,Le corgi l'allure l'allure d'un Le renard.,A2
,Tous ces préparatifs rendent et chaque l'atmosphère festive et enjouée,B2
,"Rares sont celles qui, comme le basque, l'égyptien, le chinois, comme grec, l'hébreu, le latin, le persan, chinois, sanskrit, le tamoul et quelques autres ont soufflé leurs 2 000 bougies.",C1
,Il ne me laisse ne regarder laisse télévision.,A1
,"et et le lundi, et toute la semaine recommence.",A2
2895.0,J'étais également incapable de distraction et d'étude.,C2
1612.0,"Telle est l'analyse de l'Union fédérale des consommateurs qui a demandé, mardi 9 août, en dévoilant une synthèse sur le sujet une profonde inflexion dans la gestion des ressources disponibles",C2
,On peut y aller pied pied,B1
,"Ô chants dans l'auto qui vers elle me mènera, vers elle qui m'attendra, vers les longs cils étoilés, ô son regard lorsque j'arriverai, elle sur le seuil m'attendant, élancée et de blanc vêtue, prête et belle pour moi, prête et craignant main, sa beauté si je tarde, et allant voir sa beauté dans la glace, voir si sa beauté est toujours là et parfaite, puis revenant sur le seuil et m'attendant en amour, émouvante sur le seuil et sous les roses, ô tendre nuit, ô jeunesse revenue, ô merveille lorsque je serai devant elle, ô son regard, ô notre amour, et elle s'inclinera sur ma main, ô merveille de son baiser sur ma main, et elle relèvera la tête et nos regards s'aimeront et nous sourirons de tant nous prête toi et moi, et gloire à Dieu.",C2
,"une plus productif que les autres , il crée un effet autres dans une équipe de travail où les petits problèmes courants sont relativisés .",B1
,"Le matin, elle pour au Le du village pour acheter des fruits et des légumes, et pour discuter avec ses voisins",A1
,Pour les habitants des quartiers peu la vie n'est plus la même : les rues même de touristes perdent peu à peu leurs magasins de quartier.,B1
1932.0,"Ma chère Anne, je n'ai pas trouvè le mari vraiment charmante non plus.",B1
,fais fais ma toilette et je prends fais petit déjeuner,A1
,"Pendant sa période période d'activité, le robot a robot d'arrache-pied.",B2
,J'aurais voulu pouvoir 13h. le pouvoir à 13h.,B2
,"Compte tenu de ce que chaque société structure différemment le cycle de vie, que se passe-t-il lorsque tenu personnes de sociétés différentes, par exemple une Belge et un Zaïrois, joignent leurs existences pour fonder un exemple",C1
,à partirai demain matin à la première heure pour ne pas rater première avion.,A1
,Madame Pietranera était devenue pensive ; elle objections. devoir présenter quelques objections.,B2
,"Cette indemnité devrait être obligatoire d'un toutes les entreprises et de où des salariés la demandent, explique Yoann Rouillac, président d'un groupe de travail sur le vélo.",B2
,"À l'aise devant impavide vie, séduisant, nonchalant, souriant, au-dessus des mesquineries et des jalousies, impavide devant l'hypocrisie, la discourtoisie, la vulgarité au-dessus",C2
,J'ai et raccroché j'ai ri.,A2
,"Certes pas dans les évidemment étoilés où la qualité reste tout de même satisfaisante, à condition d'accepter d'accepter de s'endetter pour les vingt prochaines années avant de déguster la dernière création du chef.",B2
3241.0,"Tout d'abord, d'où vient ce fameux accent québécois",C1
,"L'étymologie torture"" ""tripalium"", mot travail, ""tripalium"", signifie ""instrument de torture""",C2
,"Cette action avait pour objectif dès l'origine d'aider les professeurs à enseigner la science et active technologie en mettant en oeuvre une pédagogie privilégiant l'expérimentation, la discussion, une pratique active pratique collective.",C2
,"En 1985, l'économiste japonais Ohmae Kenichi Ohmae la formule commode de ""triade"" pour décrire la du polarisation du Monde.",C1
,Ce mon que dans plusieurs pièces que mon frère eut écrites.,C2
,Les réformes sont toujours difficiles à faire passer descendent le gouvernement français car les citoyens descendent facilement dans la faire pour manifester.,B2
,C'est injuste faute ne peut pas commise condamner pour la faute qu'il a commise,B1
,"Autant dire: une humanité sans violence, une nature sans histoire, un monde sans guerre, voué nature la simple émulation par monde calmes conquêtes de la puissance technique.",C2
,Je sans triste sans triste,A1
,Plusieurs personnes qui ont qui ces jours vécu racontent.,C1
,La compagnie qui anglaise. gère est à qui anglaise.,B1
,"De fait, la nature peut être, par l'homme, changée tout à fondements, transformée, ébranlée jusqu'en ses fondements, et c'est pourquoi il sied de réhabiliter le mot de magie, avait lui redonnant le sens honorable qu'il avait autrefois et en désignant par là une science justement ambitieuse qui, de la connaissance des formes cachées, déduit des opérations étonnantes.",C2
,"jeune frère Patrice est plus jeune que moi, il que à l'école des petits.",A1
,"Lorsqu'il y a un éclair avec des nuages et il la pluie, il risque d'y avoir de la foudre et du tonnerre",B1
,"Et dans cette ville inerte, cette foule criarde si étonnamment passée à côté de son cri comme cette ville à côté de son mouvement, de son sens, sans inquiétude, à côté de son vrai cri, le seul qu'on eût voulu l'entendre crier parce qu'on ville cette sien lui seul ; parce qu'on le sent habiter en elle dans quelque refuge profond d'ombre et d'orgueil, dans cette ville inerte, cette foule à côté de son cri de faim, de misère, de révolte, de haine, cette foule si étrangement bavarde et muette.",C2
1171.0,Depuis combien de temps?,A2
,Cette maison la Cette nôtre.,A2
,"Sollicitée, elle n'a ces répondu aux multiples requêtes de l'AFP pour pas ces évènements.",C1
,Tous les même c'est la même la,A1
811.0,L'histoire que je vais vous lire s'intitule Le berger et le Dragon.,A2
,La La est encore discipline comme réservée aux hommes.,B2
,"Alors, tu as vu le film, tu as et un tu et tu as décrit l'histoire.",A2
1343.0,Enseigner à une enfant qu'il peut réussir.,A2
,"Ici, dans le palais, l'air lourd lourd et étouffant, mais, dans la forêt, le vent soufflait librement et le soleil, la ses caressants doigts d'or, écartait les feuilles frémissantes.",C1
,Je travaille d'informatique. une entreprise une,A1
,"Longtemps, la a France répondu non.",B1
,Les églises sont animées,B2
,Je suis impatient de emploi mes de et de connaître mon emploi du temps.,B1
,"On a pris les deux et on a des trucs à grignoter, car on ne sait pas combien On temps on va rester ici",A2
,"Dans les écoles de commerce, dans les couloirs de 20 financières, il arrive aujourd'hui de croiser de jeunes adultes de 20 ou 25 ans qui prévoient d'ouvrir une maison prévoient ""dans une quinzaine d'années"".",B1
,"Chaque année, vous pouvez acheter du matériel professionnel à bas prix et, nouveauté de cette année, vous pouvez suivre une classe avec un matériel !",A2
306.0,M. Cruchon vient de donner une réponse à notre question.,A2
,"Un aspect qui différencie des deux premiers profils cantonaux un autres, c'est le caractère de ""planification positive"" qu'ont ces instruments de contingentement spatial : ils indiquent un objectif, un état souhaitable en termes d'extension maximale des surfaces urbanisées à un horizon temporel donné.",C2
,Je pars avec camping copine Igora dans le nord du pays faire du camping,A2
,"Malheureusement, une semaine est vite et et nous serons bientôt une retour à Paris.",A1
,"Simon a mis le chat par terre, mais le chat est fauteuil. mais le fauteuil.",A1
,Je mets mon portable ma la poche dans ma veste.,A1
,J'aime la musique classique classique le rock.,A1
2765.0,Je souffre de problème de dos.,A2
,suis suis le mouton,A1
,"vec ses incontournable à livreurs aux énormes sacs à dos carrés, l'entreprise est devenue incontournable pendant la pandémie.",C1
,"Le Le prince, qui me posait beaucoup de questions, ne semblait jamais miennes. les miennes.",B1
2823.0,"Un battement de ses paupières, et elle me regarda sans me voir, et ce fut la gloire et le printemps et le soleil et la mer tiède et sa transparence près du rivage et ma jeunesse revenue, et le monde était né, et je sus que personne avant elle, ni Adrienne, ni Aude, ni Isolde, ni les autres de ma splendeur et jeunesse, toutes d'elle annonciatrices et servantes.",C2
,Des crèches vivantes y sont organisées et la paroisse minuit prépare pour messe messe de minuit,B2
,"""Je vous laisserai sortir seulement à condition solennellement vous juriez solennellement que vous ne révélerez à ne où vous avez dormi, ni comment vous êtes entré dans la grotte aux serpents !"" dit le roi.",B1
