id,sentence,difficulty
,La science fait fait partie.,B1
,Les cadeaux cadeaux déposés à son déposés le soir du 24 ou le 25 décembre au matin,B2
,Nous lisions ensemble des poètes anglais ; nous nous promenions Nous,C2
,"S'il fait beau, le vous pouvez aller au jardin du Luxembourg et, le soir vous pouvez faire un tour en bateau jusqu'à en Tour Eiffel.",A1
,J'ai eu J'ai peur,A2
,"Chéri, tu pourrais me me le haut du dos, dos, te plaît ?",B1
,"Si j'ai un accident, mon coeur ou mon utilisés. pourront être foie",B1
,"vous je donc je le disais, vous êtes biologiste.",C1
,"D'ici là, ""l'infosphère"" continuera son expansion vertigineuse ; la masse de connaissances double déjà son là, deux ans.",C2
,fait fait faisait en terminale ce qu'on faisait hier à l'université.,A2
,et galicienne sous-tend l'évolution du peuplement et galicienne en grande partie.,C1
,Ils ont des étoiles étoiles yeux yeux,A2
,s'écria-t-il.,B2
,"Après l'éruption de 1754, la plus grosse connue par le à qui avait tué plus d'un millier de l'éruption la municipalité de San Nicolas avait à l'époque déménagé sept kilomètres plus loin pour s'éloigner du volcan",B1
,Le grand Meaulnes jeta son chapeau cheveux terre et je vis qu'il avait les cheveux complètement ras comme un ras,B2
,Il dans les enferme étanches dans des cadres étanches de civilisations qui s'entrechoquent.,C2
,"Sa famille, ruinée illustre en Pologne, cette été ruinée dans les troubles de cette contrée.",C2
,Pile au moment où on a de plus au de réconfort,A2
,"Du surgelé, du du du périmé et pire encore : et l'industrialisé se faisant passer pour du traditionnel !",B2
,"Selon les auteurs de l'article Cahiers santé, l'accès facile à des huiles peu a a joué un rôle prépondérant en raison d'une production industrielle généralisée à bas raison",C1
,"Le gouverneur de la colonie, William Bradford, décida alors de proclamer un jour décida remerciement et d'action de grâce pour remercier Dieu serviables leur avoir donné une terre finalement si accueillante avec des indigènes si serviables",B2
,"Car, en fait, les Français n'ont pas franchement le beau rôle : désagréables, disant non à tout, préférant fumer plutôt que de manger, démarrant leur journée de travail à 10 h 30, ils sont aussi présentés comme étant les rois de l'infidélité, une pratique acceptée aussi tous, y compris des compagnes ou à trompés.",B2
,regardes Qu'est-ce tu regardes ?,A1
,"""Prince, dirent-ils, la forêt est trop trop et trop grande : aucun homme ne pourrait ne jusqu'à son coeur.",B2
,Et par rapport à de cette toute on a besoin de prendre du recul,A2
,A t'il parlé bien-être pratiques pour un bien-être quotidien et d'un questionnement philosophique sur cette d'un de l'impossible,B1
,Ce rendez-vous des gourmands Ce des passionnés de chocolat passionnés lieu tous les ans entre fin octobre et début novembre à Paris,B1
,Je profite aussi du petit déjeuner pour profite les infos en ligne,A1
,Il matinée la matinée au connu qui est un musée récent et très connu,B1
,Le bras est à au tronc par l'épaule et à tronc par le coude,B1
,"Quand je rentre, nouvelles. demande à mes parents si Quand peux t'appeler pour avoir de tes nouvelles.",A2
,Il était peu un peu curieux.,A2
,"Il peut également rendre ""addict"". Le smartphone est aujourd'hui omniprésent dans nos vies : 58 % également Français déclarent avoir leur mobile 24h sur 24 h avec eux ; 41 % le consultent même au milieu de la nuit et nos % vont jusqu'à répondre à leurs messages dans leur lit.",B2
,Pourquoi Jules ne peut pas jouer avec pas et Alice ?,A1
2652.0,Je m'appelle Marie.,A1
87.0,Elle peut donc ouvrir d'autres réflexions et finalement devenir très enrichissante.,B2
,"Selon un sondage publié en mai dernier par BVA (société française de sondages) et le Syntec Numérique (fédération professionnelle du secteur informatique) favorable à la mesure, 87 % des Français seraient même d'accord pour que la informatique) informatique soient enseignée à l'école primaire, % à partir du primaire, 41 % à partir du collège).",C2
,"Ils faisaient aussi la course sur la plage, et Louis Ils aussi parce qu'il était le plus rapide",A2
,Ces journée tensions interviennent après une nouvelles de répression meurtrière dimanche avec au moins 18 manifestants tué.,B2
,"Il avait au brûlant, imprudent et damné, ses de frémissant sur ses épaisses prunelles, noires de la douleur d'une participation qui devait, quatre siècles plus tard, faire de lui une victime lorsqu'il sentit dans sa propre gorge l'écho du cri qui avait couru jadis sur la Piazza Montanara : ""Roba Vecchia !"" - la dégradation au prix de laquelle les siens avaient survécu.",C2
2689.0,On peut sortir tous les jours dans les bars ou en boîte,A1
,"Dans d'autres taux démographique s'agit de limites relatives, basées sur un taux de croissance démographique de référence, valables là aussi uniquement hors centres ou pondérées en fonction du degré de centralité.",C2
,Nommez-les l'ordre. l'ordre.,A1
,"Après avoir lutté contre réflexion, philosophie de la réflexion, Hegel doit donc entreprendre une lutte contre la philosophie lutte romantisme.",C2
,"À l'heure actuelle, pour 7 milliards et demi d'individus, on compte 4 milliards de postes de radio, télévisions, milliards de télévisions, 2 actuelle, de téléphones portables, 2 milliards d'ordinateurs.",B2
,"Richard Castelli Les machines robots ou non remplacent déjà beaucoup d'humains, robots on a oublié que c'étaient eux qui effectuaient ces travaux auparavant.",B2
,"A l'intérieur de accueillir maison, il y a un grand salon avec une table et quatre chaises salon accueillir mes amis.",A2
,"Le matin, elle va au marché du va pour acheter des fruits et des légumes, et pour discuter avec ses voisins",A1
2188.0,"Chez nous, c'est nuageux.",B1
,"Quoique en Turquie le premier gueux en haillons aille s'asseoir sur le divan des leurs auprès du Turc le plus somptueusement vêtu sans que celui-ci se recule ont éviter à sa manche bordée d'or le contact d'une loque effilochée et graisseuse, cependant certaines classes ont leurs lieux de réceptions habituels, et le café à la fontaine de marbre est un des mieux hantés de la ville.",C1
,Comment ? ?,A1
,Tu l'appelles chaque jour une ce qu'il te donne une réponse.,B1
2805.0,Le serveur : Je vous apporte votre commande !,A2
,urgent était essuie-glaces. qu'il changeât ses essuie-glaces.,C2
1884.0,Je promettais de dire la vérité.,A2
,"est centre commercial est l'endroit idéal pour passer un bon moment avec sa famille, ses amis ou moment collègues de travail.",A2
,J'aime courir sous sous pluie.,A1
,ça me fait de de manger de bonnes ça,A2
2448.0,L'écriture semble être devenue la reconversion professionnelle à la mode dans le milieu du grand banditisme.,B2
,Puis il précise : Je n'ai jamais cherché à corriger accent. à accentuer mon n'ai,B1
,"d'un était-ce l'apaisante influence du cigare bague la bague rouge, ornée d'un somptueux écu gaufré d'or, indiquait sans discrétion le prix.",C2
,"sienne, n'avait eu jusqu'alors aucune notion de ce sentiment dont de cette existence perdue dans la sienne, dont mes fureurs mêmes, mes injustices et mes reproches n'étaient que des preuves plus irréfragables.",C1
,Comment vont vont enfants ?,B1
,"C'est la commémoration, c'est-à-dire la fête anniversaire, de la fin de la Seconde Guerre Guerre",B1
,"Pour Pour pas être malade, lave-toi souvent les mains et être bois pas dans le verre d'un autre enfant.",A2
,"Par-delà ces collines, dont le faîte offre des ermitages qu'on voudrait tous habiter, l'oeil étonné aperçoit les pics des faut toujours couverts de neige, en leur austérité sévère lui rappelle des malheurs de la vie ce qu'il en faut pour accroître la volupté présente.",C1
,"Après lui demanda fait faire une bonne lieue, à pied, dans l'obscurité rendue plus lui en apparence par le feu des bivouacs qui de toutes parts éclairaient l'horizon, l'adjudant remit Fabrice à un officier de gendarmerie qui, d'un air grave, lui demanda ses papiers.",C1
4566.0,"Un patient se présentant aux urgences, peut recevoir un début de traitement puis avoir une prescription.",B2
,bonne. blanquette est bonne.,A2
1520.0,Les fortunes détruites sont les chevrons des courtisanes.,C2
,Je pense que contemporain. la galeries est la meilleure manière d'éduquer son oeil à l'art contemporain.,B2
,C'est scandaleux !,A1
,"Au internationale sept manifestants pro-démocratie ont été tués et plusieurs blessés mercredi à Birmanie par les forces de sécurité qui continuent à tirer à balles réelles, un échec pour la communauté internationale dans l'incapacité d'interrompre la spirale de violence meurtrière.",C1
,Ils étaient là,A1
,"? bien, pourquoi pas bien,",A2
,"Une des originalités de la Fondation est d'impliquer la communauté scientifique des la création des ressources pédagogiques, l'accompagnement des classes et la des continue des enseignants.",C2
,"des en 1776, elle est l'une des premières premières françaises autodidactes.",B2
,"Devant chaque passer se de une botte de paille, pour empêcher le froid de passer dessous.",C1
,"À la fin avec repas, il doit se battre avec un chien pour ramener à sa mère un os avec un peu fin viande autour.",B1
,"Aujourd'hui, c'est une tarte aux framboises avec Aujourd'hui, la confiture la maison",A2
,Eus-tu sorti les abats congelés du afin hier soir afin qu'ils soient à température ambiantes pour le repas de le midi ?,C1
,"On eût la qu'en faisant remarquer leurs ridicules, je trahissais une confidence qu'ils m'avaient faite ; on eût dit qu'en se montrant à mes yeux tels qu'ils étaient, ils avaient obtenu de ma part la promesse du On : je n'avais point la conscience d'avoir accepté ce traité trop onéreux.",C2
,mais aussi des fraisiers tu je me régale et je fais le plein de vitamines de que tu passes de bonnes vacances à Limoges,A2
,"facilement premiers étrangers, cette race peut se méfier des étrangers, mais est facilement docile avec son maître.",B2
,La faiblesse au taux d'intérêt contribue à alimenter des risques liés aux expositions au au du logement.,C1
,"elle elle se promène dans la campagne, ou elle explore la région",A1
,"Cependant, la responsable du service nous a confirmé que les conditions d'accueil et de délivrance de vos documents administratifs mit été respectées selon les normes établies normes notre nous",C2
,"Plus que faire une visite, le promeneur remontera le temps et découvrira promeneur une partie de l'histoire de la région.",B1
,"une en outre une diarrhée du diable, que nul vaincue sans nul médicament, par la contention mentale et donc musculaire.",C2
,Qui est absent ?,A1
,"Ellénore craignait, pour se montrant inflexible, de voir se en des imprudences qui l'alarmaient pour elle et pour moi.",C2
,"Or, sur compte quelque les 000 langues qui existent actuellement dans le monde, la moitié compte moins de 10 000 locuteurs et un quart moins de 1 000.",C1
,L'opinion se L'opinion de de du bellicisme.,C2
,"Donc, zone dans ma zone personnelle, donc, je fais la mise en place pour une centaine zone clients ce soir",A2
,Faire en sorte que l'ineffable nous devienne familier en tout gardant ses racines fabuleuses.,C2
,"Et cela ne changera pas, tant qu'aucune des élites économiques, administratives et politiques françaises qu'aucune sera passée par l'université, pour d'autres cursus que le droit et la médecine, monopoles traditionnels des facs.",C2
,C'était comme soirée comme les soirée,B1
,certificat sur signerez avec votre certificat électronique l'ensemble de ces éléments avant de cliquer sur envoi .,B2
,Après avoir sollicité le jeune fils du nouveau roi sur Français Louis-Philippe ler - qui refuse par crainte de nouvelles tensions internationales - les Belges se rabattent sur le prince anglo-allemand ler de Saxe- Cobourg,B2
,"Au cours de ces trente années, deux vies yeux, déroulent donc devant nos yeux, avec déceptions lot de grands chagrins et d'amourettes, de déceptions et d'emballements.",C1
,"En plus de un ces activités, le Salon du Chocolat monde également l'endroit rêvé pour découvrir et acheter les chocolats de nombreux artisans chocolatiers du monde entier, réunis en un seul lieu à Paris",B1
,"Puis, plus grand, film découvrais les métiers de policier et d'avocat dans un film",A2
,d'hier suis déçu que la Je d'hier se termine de cette manière.,B1
,"Eux, par contre, Eux, dû régler contre, réveil",B2
,au ami Mon répond pas au téléphone.,A1
,"Il décrivait sa patrie comme une presqu'île desséchée et presque aride, semée pourtant d'oliviers ; mais bien qu'elle fût - il l'avouait lui-même - moins jeune et moins fertile que le bien à l'ombre de la forêt, il en parlait avec tant d'amour, que le jeune prince demeurait sous le charme en l'écoutant.",B2
,Je cette cette cette photo.,A1
,"Oui, chocolat. le chocolat.",A1
,"Et main. elle main. devant moi, mes lunettes à la main.",A2
,Mon d'architecte a enfin trouvé une place d'architecte sur travaille sur un important projet d'immeuble avec son équipe,B1
,ski. le J'aime,A1
,Il fait très Il ce matin à plage. plage.,A1
,"En 2007, moins d'une 8% des l'objet des entreprises ont fait l'objet d'une collecte sélective.",B2
,"Le précepteur Pangloss était l'oracle de la maison, et le caractère. Candide écoutait ses leçons avec toute la bonne foi de son âge et de son caractère.",B2
,"Toutefois, ce système répond à des critères précis et grande difficilement développement avec le développement à grande échelle auquel il est appelé.",C1
,"Il n'y a pas de formation idéale, avoir il faut a minimum avoir un diplôme Bac + 2.",A2
,"temps, train, en son temps, était également craint. Brigitte Munier Les robots suscitent l'enthousiasme des Occidentaux, mais aussi leur angoisse: au lieu de les concevoir comme de simples outils ou, à la manière japonaise, tels d'amicaux auxiliaires, des craignent des compétiteurs menaçant leur avenir.",C1
,Il nous a indiqué qu'il avait fini son film hier et qu'il allait en commercer nouveau nouveau dans deux semaines.,B1
,Capacités intellectuelles ou intellectuelles d'orientation ?,B2
,"Ce code, si l'on en jugeait par l'entêtement soudain qu'elle mettait à ne et vouloir faire certaines commissions que nous lui donnions, semblait avoir prévu des complexités sociales et des raffinements mondains tels que rien dans l'entourage de Françoise et dans sa vie de domestique de village n'avait pu les lui suggérer ; et l'on était obligé de se dire qu'il y avait en elle un passé français très vie noble et mal compris, comme dans ces cités manufacturières où de vieux hôtels témoignent qu'il y eut jadis une vie de cour, et où les ouvriers d'une usine de produits chimiques travaillent au milieu de délicates sculptures qui représentent le miracle de saint Théophile ou les quatre fils Aymon.",C2
,"Il montrera de cette façon, tantôt comment les esprits se modifient sous l'influence des circonstances environnantes, tantôt comment se développent les sentiments et les passions, comment on s'aime, comment on se hait, comment on se combat dans tous les milieux sociaux, comment luttent les famille, bourgeois, façon, intérêts d'argent, les intérêts de famille, les intérêts politiques.",C1
,"Exilée en permanence, mes passe mes nuits à souder l'identité. rails qui mènent à l'identité.",C1
,"faut faut le faire, mais ça prendra temps. temps.",A2
,Armel Le Cléach après-midi cet après-midi au large des arrive d'Olonne,C1
,Il a rendez-vous chez le médecin,A1
,Lequel des deux assouvit des Lequel sa passion ?,C1
,"À les radio, le journaliste a conservé les radio, de son Pays basque natal dans le Sud de la France.",B1
,Ils boivent glaçons. de avec des glaçons.,A1
,Moi je pense que l'école faire. peut je tout faire.,A2
,a il y a un Mais .,A1
,"En effet, même si pas ne quelque pas acheter quelque chose, il est toujours intéressant de passer du temps dans les centres commerciaux",B1
,"Ce geste, presque insensible, lui fit courir, de sur tête aux pieds, un grand frisson sur la peau, et, se tournant vivement, il se jeta sur elle, cherchant la bouche avec ses lèvres et la grand nue avec ses mains.",C2
,C'est déjà C'est,A1
,C'est que la première fois que nous voyons deux ouragans même se produire au mois de novembre,A2
,Il a un a vert chemise une chemise blanche,A1
,"Les aventuriers soit déchets découvrent une île, ont bien des chances qu'elle ne soit constituée que par des déchets plastiques.",B2
,"Non, Je ne ne pas pas",A1
3438.0,"Le lendemain, le 25 décembre, est le jour de Noël",B1
,Ne nous fâchons donc contre aucune théorie puisque simplement d'elles donc simplement l'expression généralisée d'un tempérament qui s'analyse.,C1
,"Or les éleveurs du Montana craignent que les bisons transmettent à que bovins la brucellose, une maladie qui provoque l'avortement.",C1
2439.0,La balle est partie.,A1
2711.0,"Non, ne sors pas jouer sans protection !",A2
,"Merci beaucoup pour pour cette histoire, j'ai beaucoup pas mal de nouveau vocabulaire.",B1
,"Or, aujourd'hui, c'est lancé un massif lancé à notre pays.",B2
,"Étant féru d'art, Yves créations. Laurent a constitué, au fil des années, une importante collection Laurent précieux et de peintures qui ont inspiré certaines de ses créations.",C1
4082.0,Ont-ils des contacts avec l'extérieur ?,B1
,les les J'aime,A2
,Nous cours commencé un nouveau avons,A2
,"Après l'éruption de 1754, la plus grosse connue par le volcan qui avait tué plus d'un millier de personnes, la municipalité de San Nicolas plus à l'époque déménagé sept kilomètres plus loin pour s'éloigner du plus",B1
,"Ils avaient auparavant reçu une lettre d'une veuve qui, après avoir consacré sa vie à élever seule ses avoir avoir recevait leurs visites qu'en de très rares occasions.",B2
,"Sans enfants à cinquante-neuf ans, Guido avait, à son propre coeur, préparé pour son enfant à venir un coeur modelé sur sa propre préoccupation : l'hommage sans remords à la noblesse, la génuflexion que fait par contraction musculaire le corps pourchassé en s'affalant devant ce sa est imminent et inaccessible comme devant une grande chaleur.",C2
,L'objectif est de L'objectif les risques de et de diminuer les nuisances sur l'espace public,B2
,Elle a a a porte de la maison.,A1
,Ouais !,A1
,Il un juste était peu curieux.,A2
,"Et ça touche toutes les générations et ça touche tous avocats, métiers : tous a des métiers dans la finance, on a des métiers des avocats, les médecins on n'arrête pas de faire des téléconférences et puis il y a tous les gens qui sont en télétravail",B1
,Ils rentrèrent au pays après qu'ils eurent rentrèrent en Europe,C2
,"Pour cravate au travail, Marc porte une veste, un pantalon, une chemise et une belle cravate une",B1
,"À 60 ans aujourd'hui, à a encore devant soi vingt-cinq, voire trente années , explique Patrice Leclerc, responsable du programme personnes âgées à âgées Fondation de France.",B2
,"Le soir, je me cuche tôt parce que bonne je être toujours en bonne forme.",A1
,"Si les produits anti, pré et probiotiques agissent sur le comportement, en modifiant la composition de la flore intestinale, ils pourraient le servir de médicaments pré",C1
,"divine manifeste la volonté divine qui, sans défaillance, transforme le mal en bien.",C1
,Les valeurs de tolérance sont sensible. nette progression et la xénophobie de en baisse sensible.,B2
,"Et, en France, beaucoup moins de filles que de garçons vont choisir la voie des sciences dites dures , de lesquelles les mathématiques.",B2
,"Conscient de sa assez assez faible, il renonce par la suite la briguer un nouveau mandat présidentiel",C1
,"Fruit d'une lequel élaborée depuis la Renaissance, l'individualisme est un projet de société dans d'une chacun devrait trouver les meilleures conditions de sa réalisation et de son épanouissement.",C1
,Les efforts des derniers siècles pour réduire l'incertitude des pas cessé Europe. Europe.,B2
,"Tout en haut de la tour Eiffel, il y a tour antennes qui émettent les programmes émettent radio et de télévision",B1
,Il n'y de cependant pas de de de légumes à la carte.,B1
,c'est c'est c'est Laura.,A1
,Je peux m'asseoir ici ici,A1
,"Ils encablures, virent rien, si ce n'est un fort remous qui brisait à trois encablures, comme si les nappes trois eussent été violemment battues.",C1
3927.0,"Bien que revendiquée des poètes par goût pour la bohème, la marginalité de ce mode de vie est aussi assignée et subie lors de rituels d'accueil dégradants et déshumanisants : toilette collective, mauvaise nourriture, linge d'une hygiène douteuse, mais aussi le froid, la faim, la promiscuité et les insultes. Les effets psychologiques de la mise à nu des corps fatigués et surtout la peur de la dépossession des maigres biens portés à même le corps éloignent les aidants et des aidés.",C2
,Ils ont peint le mur sale de Ils cuisine.,A2
3079.0,"Aristocrate de naissance, il haîssait par instinct quatre-vingt-treize; mais philosophe par tempérament, et libéral par éducation, il exécrait la tyrannie d'une haine inoffensive et déclamatoire.",C1
,On eût difficilement imaginé un plus baroque assemblage On vêtures imaginé,C2
,Nous jouons dans le jardin quand il fait beau ou dans la maison il il pleut.,A1
,C'était une pièce vide et vide ; aux officielles lépreuses des murs s'effiloquaient des débris d'affiches officielles,C1
,"Demain, nous nous lèverons tôt et nous dans promènerons dans la les bois situés situés alentours du manoir.",B1
,"2 à 3 minutes dans l'huile bouillante, chef pour les accompagner, notre chef prépare la traditionnelle sauce chien"" : olgnon, cive, persil, sel, polvre, un peu de chef",C1
,Se précipiter avec violence Se une personne sur sur quelque chose.,B1
,Je t'écris de t'écris mes grands-parents à l'Aigle en Normandie où je je de super vacances depuis maintenant une semaine,A2
,La police qu'elle déclaré qu'elle avait trouvé le voleur de trouvé Joconde.,B1
,"Le soir, je me cuche tôt parce parce je je être toujours en bonne forme.",A1
163.0,"Et nos esprits qui reçoivent les instructions de ces organes, diversement impressionnés, comprennent, analysent et jugent comme si chacun de nous appartenait à une autre race.",C1
,"Elle rit, alla et vint, se sentant admirée, sentant que sa robe admirée, bien aux endroits nécessaires.",C1
,"Il y a une ruée vers : grandes un peu plus indépendants, moins dépendants des magasins, de l'importation, des grandes surfaces"", donc une espèce de retour au savoir-faire artisan, un peu de nos ancêtres, de nos parents, de donc grands-parents.",B2
,"Aujourd'hui, on est samedi, nous rendons visite à on grand-mère",A1
1389.0,"Elle m'occupait sans cesse : je formais mille projets ; j'inventais mille moyens de conquête, avec cette fatuité sans expérience qui se croit sûre du succès parce qu'elle n'a rien essayé.",C2
,"Par exemple, on peut aborder la notion d'algorithmique avec une recette de cuisine, ou s'initier à la cryptographie avec des ou des cadenas et explique clés , explique David Wilgenbus.",C2
,"Un aspect qui différencie ces deux premiers profils cantonaux des qui c'est le caractère de ""planification positive"" qu'ont ces instruments de contingentement spatial en ils indiquent un objectif, un état souhaitable en termes d'extension maximale des surfaces urbanisées à un horizon temporel donné.",C2
,Il est entré est la mauvaise chambre et a des des inconnus.,B1
,Les dents bouche trouvent dans la bouche,B1
,"Mes frères et moi parlons français, et et allemand à la maison",A1
2536.0,"Cette fois, c'est vous qui caricaturez !",A2
,"On lui accorda, pour compagnes, et afin de l'aider lors de son accouchement, deux femmes des plus sages On elle. avec elle.",C2
,"Pour Descartes, cette liberté d'indifférence, bien que considérée comme témoigne plus bas degré de la liberté"", témoigne en même temps d'un pur libre arbitre cette apparente l'homme à Dieu (Méditation quatrième)",C2
,Doté de 410 millions de du il servira à financer l'adaptation des pays du Sud et le développement d'énergies Sud,C1
,"Non, c'est en fonction de la facilité de en la",A2
,La didascalie offre un éclairage totalement nouveau de éclairage,C2
,La fiable fiable très peu fiable à ses débuts.,B2
,Il avait une de ces pâleurs splendides qui ardentes quelque chose de la majesté de marbres aux races ardentes du Midi.,C1
,"Le beau monsieur, qui était magicien, le le alors à le conduire à la montagne, et à ouvrir le rocher en le touchant avec avec merveilleuse.",B1
,"Je devins sombre, taciturne, inégal dans humeur, humeur, amer dans mes discours.",C2
,"Avant Jack Kerouac, mais après François Villon, Lajos Kassák affronte les espaces ouverts, la Budapest à Paris en passant par l'Allemagne et la Belgique, et s'en souvient en 1927, lorsqu'il entreprend Villon, autobiographie.",C2
,"ont ont contre, ont dû régler leur réveil",B2
,"Et comme Et première entrée n'arrivait pas, ils buvaient de temps en temps une gorgée des champagne en grignotant des croûtes arrachées sur le dos des petits pains ronds.",C2
,Le cheval arriva au sauta et sauta par-dessus la galop,B2
,Je n'aime pas cette photo.,A1
,Je Je banquière.,A1
,de dire de dire la vérité au juge.,A2
,"À parents les parents cachent des oeufs en chocolat dans la maison et le jardin, s'amusent les enfants s'amusent à les chercher.",B1
,Des coutumes similaires ont existé autrefois notamment dans la Finistère : les enfants s'amusaient de creuser des betteraves au moment de la Toussaint pour faire peur aux gens du voisinage,B2
,suis suis une suis de montagne.,A1
,il il faut Mais,A2
,pas Je pas dessiner.,A1
,Je triste elle. sans elle.,A1
,"Il y a beaucoup de choses à faire à Paris, choses",A1
,"Compte tenu de ce que chaque société structure différemment le cycle de vie, que se passe-t-il lorsque deux fonder de sociétés différentes, par exemple une Belge et ce Zaïrois, joignent leurs existences pour fonder un foyer?",C1
,"Ses soutiens la voient comme une sa acharnée de l'écologie, qui n'hésite pas à faire entendre sa faire",C1
,"Tout comme les comportements des animaux sont déterminés par l'instinct, leur environnement des des déterminations biologiques, les actes et les pensées des hommes le sont eux-mêmes par de multiples déterminations à la fois internes et externes dont on ignore le plus souvent l'existence et la puissance : facteurs d'origine physiologiques, psychologiques, sociales, etc",C2
,"Dans cette aux les densités annuelles de campagnol terrestre connues à l'échelle des communes ont surfaces attribuées aux taches de prairie en utilisant une pondération par les surfaces relatives pour les taches chevauchant plusieurs municipalités ; au terme de cette opération, chaque tache de prairie a été caractérisée par une densité annuelle de campagnol terrestre.",C1
3329.0,"En 2020, le classique compte courant s'est imposé comme le produit d'épargne préféré des Français.",C1
,Je recherche une personne pour Je mes enfants de 1 une 7 ans.,A1
,"C'est génial, j'ai ! tout avant vous !",A2
,"À l'extrémité de la digue on voyait s'élever, sur les dessins du fameux marquis Gagnola, une chapelle bâtie tout entière en blocs de granit énormes, et, dans la voyait Marchesi, le sculpteur à la mode de Milan, lui bâtissait un tombeau sur lequel des bas-reliefs nombreux devaient représenter du belles actions de ses ancêtres.",C1
,sur précipiter avec violence précipiter une personne ou sur quelque chose.,B1
,C'est un médicament qui est très bon pour pour les problèmes d'estomac.,B1
,"Elle est blessée blessée consultation la consultation médicale, mais souriante.",B2
2293.0,"Observant que, à l'exception du changement de mode de scrutin pour les communes dont la population est comprise entre 2 000 et 3 500 habitants, le texte issu des travaux de l'Assemblée nationale avait recueilli une approbation presque unanime de tous les groupes de cette assemblée, le rapporteur a souhaité rappeler que la démarche suivie par les députés, consistait à mettre en oeuvre des solutions permettant d'optimiser la présence des femmes dans la vie politique.",C1
,ça me vous plaisir que vous ça venus.,B1
,"Elle fais ses prépare puis prépare le dîner et finalement, elle film un film avant d'aller se coucher",B1
2080.0,Je peux proposer une note si vous voulez.,B1
,Ce pas à facile à vivre.,A2
,bientôt. arrive bientôt.,A1
,"La première modernité a inventé l'universalisme abstrait, qui définissait l'universalisme ce que les individus ont a commun.",C1
,"Pour le plat de résistance soir, ce soir, je n'ai tomates, de tomates, ni de courgettes dans mon garde-manger.",B1
,histoire raconte une histoire les enfants pour les endormir.,A1
2396.0,"Nous nous assîmes sur un banc recouvert de verdure, face aux cieux étincellant et nous vîmes l'aurore s'éveiller.",C2
3361.0,"La loi sur laquelle s'est appuyé le gouvernement néerlandais pour imposer un couvre-feu est prévue pour des ""circonstances très urgentes et exceptionnelles"".",C1
,supermarché? se le le supermarché?,A1
,La majorité des Français fête Pâques partager considère cette date comme une occasion de se retrouver en famille pour partager date bon repas,B1
,"Une action les être envisagée, nonobstant les doutes subsistant au au lien de causalité.",C2
,"Avant de boire une tasse de café, il faut faire pousser le plan de vendre le récolter, le transporter, l'emballer, le vendre et le une",B1
,Nous devons nous envisager autant comme citoyens du monde autant comme héritiers héritiers vieille nation.,C2
