id,sentence,difficulty
54,Elle mange souvent des fruits au petit déjeuner.,A2
55,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B2
56,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A1
57,Le chat dort sur le sofa.,A1
58,Le chat dort sur le sofa.,A2
59,Le chat dort sur le sofa.,B2
60,Elle mange souvent des fruits au petit déjeuner.,A2
61,Le chat dort sur le sofa.,C1
62,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
63,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B1
64,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A1
65,Elle mange souvent des fruits au petit déjeuner.,B2
66,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A2
67,"Quand j'étais petit, j'allais à l'école à pied.",A1
68,"Quand j'étais petit, j'allais à l'école à pied.",B1
69,"Quand j'étais petit, j'allais à l'école à pied.",B1
70,Le chat dort sur le sofa.,A2
71,Le chat dort sur le sofa.,A2
72,"Quand j'étais petit, j'allais à l'école à pied.",A1
73,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B2
74,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",C1
75,Le chat dort sur le sofa.,B1
76,"Quand j'étais petit, j'allais à l'école à pied.",A2
77,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",C1
78,Le chat dort sur le sofa.,C1
79,"Quand j'étais petit, j'allais à l'école à pied.",C1
80,Elle mange souvent des fruits au petit déjeuner.,B2
81,"Quand j'étais petit, j'allais à l'école à pied.",A2
82,"Quand j'étais petit, j'allais à l'école à pied.",B1
83,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A2
84,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
85,Elle mange souvent des fruits au petit déjeuner.,B1
86,Elle mange souvent des fruits au petit déjeuner.,A2
87,"Quand j'étais petit, j'allais à l'école à pied.",B1
88,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A1
89,Elle mange souvent des fruits au petit déjeuner.,B1
90,"Quand j'étais petit, j'allais à l'école à pied.",C1
91,Le chat dort sur le sofa.,B2
92,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
93,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B1
94,"Quand j'étais petit, j'allais à l'école à pied.",A1
95,Le chat dort sur le sofa.,C1
96,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B2
97,Le chat dort sur le sofa.,A1
98,"Quand j'étais petit, j'allais à l'école à pied.",C1
99,Elle mange souvent des fruits au petit déjeuner.,C1
100,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",C1
101,Le chat dort sur le sofa.,B1
102,Elle mange souvent des fruits au petit déjeuner.,A2
103,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A1
104,"Quand j'étais petit, j'allais à l'école à pied.",A2
105,"Quand j'étais petit, j'allais à l'école à pied.",C1
106,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A2
107,Le chat dort sur le sofa.,C1
108,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",C1
109,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B2
110,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B2
111,Le chat dort sur le sofa.,A2
112,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A1
113,Le chat dort sur le sofa.,A2
114,"Quand j'étais petit, j'allais à l'école à pied.",A1
115,Elle mange souvent des fruits au petit déjeuner.,A2
116,"Quand j'étais petit, j'allais à l'école à pied.",B1
117,"Quand j'étais petit, j'allais à l'école à pied.",B1
118,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
119,"Quand j'étais petit, j'allais à l'école à pied.",B2
120,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A1
121,"Quand j'étais petit, j'allais à l'école à pied.",A2
122,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",C1
123,Le chat dort sur le sofa.,B1
124,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",C1
125,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B1
126,"Quand j'étais petit, j'allais à l'école à pied.",A2
127,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B1
128,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
129,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",C1
130,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",C1
131,Elle mange souvent des fruits au petit déjeuner.,A2
132,Elle mange souvent des fruits au petit déjeuner.,C1
133,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A2
134,Elle mange souvent des fruits au petit déjeuner.,B2
135,"Quand j'étais petit, j'allais à l'école à pied.",A1
136,Le chat dort sur le sofa.,B1
137,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B1
138,Le chat dort sur le sofa.,B1
139,Elle mange souvent des fruits au petit déjeuner.,B2
140,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A1
141,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",C1
142,Elle mange souvent des fruits au petit déjeuner.,C1
143,"Quand j'étais petit, j'allais à l'école à pied.",A1
144,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
145,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B1
146,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",C1
147,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
148,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",C1
149,Elle mange souvent des fruits au petit déjeuner.,A1
150,"Quand j'étais petit, j'allais à l'école à pied.",A2
151,"Quand j'étais petit, j'allais à l'école à pied.",B1
152,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
153,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B2
154,Elle mange souvent des fruits au petit déjeuner.,A1
155,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A2
156,"Quand j'étais petit, j'allais à l'école à pied.",B2
157,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B2
158,Elle mange souvent des fruits au petit déjeuner.,A1
159,"Quand j'étais petit, j'allais à l'école à pied.",A2
160,"Quand j'étais petit, j'allais à l'école à pied.",B2
161,Le chat dort sur le sofa.,B1
162,Elle mange souvent des fruits au petit déjeuner.,B1
163,Elle mange souvent des fruits au petit déjeuner.,C1
164,Le chat dort sur le sofa.,C1
165,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A2
166,Le chat dort sur le sofa.,B2
167,Elle mange souvent des fruits au petit déjeuner.,B1
168,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B1
169,"Quand j'étais petit, j'allais à l'école à pied.",A2
170,Le chat dort sur le sofa.,B2
171,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A2
172,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A1
173,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B1
174,Le chat dort sur le sofa.,A2
175,"Quand j'étais petit, j'allais à l'école à pied.",A2
176,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A1
177,Le chat dort sur le sofa.,C1
178,Elle mange souvent des fruits au petit déjeuner.,B1
179,Le chat dort sur le sofa.,A2
180,Le chat dort sur le sofa.,B1
181,Le chat dort sur le sofa.,C1
182,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A2
183,Le chat dort sur le sofa.,A1
184,Elle mange souvent des fruits au petit déjeuner.,B1
185,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A1
186,Elle mange souvent des fruits au petit déjeuner.,C1
187,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",C1
188,Le chat dort sur le sofa.,B1
189,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",C1
190,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B2
191,Le chat dort sur le sofa.,B1
192,"Quand j'étais petit, j'allais à l'école à pied.",B2
193,"Quand j'étais petit, j'allais à l'école à pied.",C1
194,Elle mange souvent des fruits au petit déjeuner.,B1
195,Le chat dort sur le sofa.,B2
196,Le chat dort sur le sofa.,C1
197,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A2
198,"Quand j'étais petit, j'allais à l'école à pied.",A2
199,"Quand j'étais petit, j'allais à l'école à pied.",A1
200,Le chat dort sur le sofa.,A2
201,Elle mange souvent des fruits au petit déjeuner.,B2
202,Le chat dort sur le sofa.,A2
203,Elle mange souvent des fruits au petit déjeuner.,B1
204,"Quand j'étais petit, j'allais à l'école à pied.",B1
205,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B1
206,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A2
207,"Quand j'étais petit, j'allais à l'école à pied.",A2
208,Elle mange souvent des fruits au petit déjeuner.,A1
209,Le chat dort sur le sofa.,C1
210,"Quand j'étais petit, j'allais à l'école à pied.",A1
211,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B2
212,Elle mange souvent des fruits au petit déjeuner.,B1
213,Le chat dort sur le sofa.,A2
214,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",C1
215,Elle mange souvent des fruits au petit déjeuner.,C1
216,Le chat dort sur le sofa.,A2
217,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A1
218,Le chat dort sur le sofa.,C1
219,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A1
220,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A2
221,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A1
222,Le chat dort sur le sofa.,B1
223,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A2
224,Elle mange souvent des fruits au petit déjeuner.,A2
225,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",C1
226,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",C1
227,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",C1
228,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B1
229,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B1
230,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B2
231,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A2
232,Elle mange souvent des fruits au petit déjeuner.,C1
233,"Quand j'étais petit, j'allais à l'école à pied.",A2
234,Le chat dort sur le sofa.,A1
235,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B1
236,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B2
237,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
238,Elle mange souvent des fruits au petit déjeuner.,A2
239,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B1
240,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",C1
241,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A1
242,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B1
243,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A2
244,"Quand j'étais petit, j'allais à l'école à pied.",A2
245,Le chat dort sur le sofa.,A1
246,Le chat dort sur le sofa.,A1
247,Le chat dort sur le sofa.,A1
248,"Quand j'étais petit, j'allais à l'école à pied.",B2
249,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",C1
250,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B1
251,Elle mange souvent des fruits au petit déjeuner.,A2
252,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A2
253,"Quand j'étais petit, j'allais à l'école à pied.",C1
254,"Quand j'étais petit, j'allais à l'école à pied.",A1
255,Le chat dort sur le sofa.,A1
256,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A2
257,Le chat dort sur le sofa.,C1
258,Elle mange souvent des fruits au petit déjeuner.,A2
259,Le chat dort sur le sofa.,A1
260,Elle mange souvent des fruits au petit déjeuner.,B1
261,"Quand j'étais petit, j'allais à l'école à pied.",A1
262,Le chat dort sur le sofa.,B1
263,Le chat dort sur le sofa.,B2
264,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",C1
265,"Quand j'étais petit, j'allais à l'école à pied.",B2
266,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
267,Elle mange souvent des fruits au petit déjeuner.,C1
268,Elle mange souvent des fruits au petit déjeuner.,A1
269,"Quand j'étais petit, j'allais à l'école à pied.",C1
270,Elle mange souvent des fruits au petit déjeuner.,C1
271,"Quand j'étais petit, j'allais à l'école à pied.",A1
272,Elle mange souvent des fruits au petit déjeuner.,A1
273,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",C1
274,Le chat dort sur le sofa.,C1
275,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A1
276,"Quand j'étais petit, j'allais à l'école à pied.",A1
277,"Quand j'étais petit, j'allais à l'école à pied.",A2
278,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A2
279,Le chat dort sur le sofa.,A2
280,Le chat dort sur le sofa.,B2
281,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",C1
282,Elle mange souvent des fruits au petit déjeuner.,B1
283,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B2
284,Le chat dort sur le sofa.,C1
285,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B1
286,Elle mange souvent des fruits au petit déjeuner.,A2
287,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B1
288,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
289,"Quand j'étais petit, j'allais à l'école à pied.",A1
290,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",C1
291,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B2
292,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A2
293,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",C1
294,"Quand j'étais petit, j'allais à l'école à pied.",A2
295,"Quand j'étais petit, j'allais à l'école à pied.",A1
296,"Quand j'étais petit, j'allais à l'école à pied.",B2
297,Elle mange souvent des fruits au petit déjeuner.,B2
298,"Quand j'étais petit, j'allais à l'école à pied.",A1
299,"Quand j'étais petit, j'allais à l'école à pied.",B1
300,"Quand j'étais petit, j'allais à l'école à pied.",B2
301,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B1
302,"Quand j'étais petit, j'allais à l'école à pied.",A2
303,Elle mange souvent des fruits au petit déjeuner.,B2
304,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
305,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B1
306,Le chat dort sur le sofa.,A2
307,"Quand j'étais petit, j'allais à l'école à pied.",A2
308,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B2
309,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B2
310,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",C1
311,Le chat dort sur le sofa.,C1
312,Elle mange souvent des fruits au petit déjeuner.,B2
313,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",C1
314,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
315,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
316,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",C1
317,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B2
318,Le chat dort sur le sofa.,A1
319,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A2
320,Elle mange souvent des fruits au petit déjeuner.,B2
321,Elle mange souvent des fruits au petit déjeuner.,B1
322,"Quand j'étais petit, j'allais à l'école à pied.",B1
323,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B2
324,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",C1
325,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
326,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
327,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B2
328,Elle mange souvent des fruits au petit déjeuner.,A2
329,Le chat dort sur le sofa.,C1
330,Le chat dort sur le sofa.,A2
331,"Quand j'étais petit, j'allais à l'école à pied.",B2
332,Elle mange souvent des fruits au petit déjeuner.,B2
333,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A2
334,Le chat dort sur le sofa.,B1
335,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B2
336,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",C1
337,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A2
338,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B1
339,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A2
340,"Quand j'étais petit, j'allais à l'école à pied.",B1
341,"Quand j'étais petit, j'allais à l'école à pied.",B1
342,"Quand j'étais petit, j'allais à l'école à pied.",C1
343,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B2
344,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B1
345,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B2
346,"Quand j'étais petit, j'allais à l'école à pied.",C1
347,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B2
348,Elle mange souvent des fruits au petit déjeuner.,A1
349,Le chat dort sur le sofa.,B1
350,Le chat dort sur le sofa.,C1
351,"Quand j'étais petit, j'allais à l'école à pied.",A2
352,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",C1
353,Elle mange souvent des fruits au petit déjeuner.,B1
354,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",C1
355,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A2
356,"Quand j'étais petit, j'allais à l'école à pied.",A1
357,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B1
358,"Quand j'étais petit, j'allais à l'école à pied.",B1
359,Le chat dort sur le sofa.,C1
360,Le chat dort sur le sofa.,B2
361,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B2
362,Elle mange souvent des fruits au petit déjeuner.,A2
363,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
364,"Quand j'étais petit, j'allais à l'école à pied.",A1
365,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",C1
366,Le chat dort sur le sofa.,C1
367,Elle mange souvent des fruits au petit déjeuner.,B2
368,Elle mange souvent des fruits au petit déjeuner.,A1
369,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
370,Le chat dort sur le sofa.,A1
371,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A2
372,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A2
373,Elle mange souvent des fruits au petit déjeuner.,C1
374,Elle mange souvent des fruits au petit déjeuner.,B2
375,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B1
376,Le chat dort sur le sofa.,B2
377,Elle mange souvent des fruits au petit déjeuner.,A2
378,"Quand j'étais petit, j'allais à l'école à pied.",A2
379,"Quand j'étais petit, j'allais à l'école à pied.",C1
380,Le chat dort sur le sofa.,B1
381,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A1
382,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B1
383,Le chat dort sur le sofa.,B1
384,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B1
385,Le chat dort sur le sofa.,C1
386,"Quand j'étais petit, j'allais à l'école à pied.",A2
387,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A1
388,"Quand j'étais petit, j'allais à l'école à pied.",B1
389,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A1
390,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B1
391,Le chat dort sur le sofa.,A2
392,Elle mange souvent des fruits au petit déjeuner.,A1
393,Elle mange souvent des fruits au petit déjeuner.,B2
394,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A2
395,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A1
396,"Quand j'étais petit, j'allais à l'école à pied.",B1
397,Elle mange souvent des fruits au petit déjeuner.,B1
398,"Quand j'étais petit, j'allais à l'école à pied.",A2
399,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A2
400,Elle mange souvent des fruits au petit déjeuner.,B1
401,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
402,Le chat dort sur le sofa.,B2
403,"Quand j'étais petit, j'allais à l'école à pied.",C1
404,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A2
405,Elle mange souvent des fruits au petit déjeuner.,B1
406,"Quand j'étais petit, j'allais à l'école à pied.",A1
407,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A2
408,Le chat dort sur le sofa.,A1
409,Elle mange souvent des fruits au petit déjeuner.,A2
410,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B1
411,Le chat dort sur le sofa.,A1
412,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B1
413,Elle mange souvent des fruits au petit déjeuner.,A1
414,Elle mange souvent des fruits au petit déjeuner.,A2
415,Le chat dort sur le sofa.,C1
416,Elle mange souvent des fruits au petit déjeuner.,C1
417,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B2
418,Le chat dort sur le sofa.,B2
419,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B1
420,Le chat dort sur le sofa.,A1
421,Le chat dort sur le sofa.,B2
422,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A2
423,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",C1
424,"Quand j'étais petit, j'allais à l'école à pied.",A1
425,"Quand j'étais petit, j'allais à l'école à pied.",C1
426,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
427,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B2
428,Elle mange souvent des fruits au petit déjeuner.,B2
429,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B1
430,"Quand j'étais petit, j'allais à l'école à pied.",A1
431,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",A2
432,Le chat dort sur le sofa.,B2
433,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B1
434,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B2
435,"Quand j'étais petit, j'allais à l'école à pied.",C1
436,"Quand j'étais petit, j'allais à l'école à pied.",B2
437,Elle mange souvent des fruits au petit déjeuner.,A1
438,Elle mange souvent des fruits au petit déjeuner.,B1
439,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
440,Le chat dort sur le sofa.,A2
441,Elle mange souvent des fruits au petit déjeuner.,A2
442,"Quand j'étais petit, j'allais à l'école à pied.",B2
443,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B1
444,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B1
445,Elle mange souvent des fruits au petit déjeuner.,B1
446,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B1
447,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B2
448,Elle mange souvent des fruits au petit déjeuner.,A1
449,Le chat dort sur le sofa.,B2
450,Le chat dort sur le sofa.,A1
451,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",C1
452,Le chat dort sur le sofa.,C1
453,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A1
454,"Quand j'étais petit, j'allais à l'école à pied.",B2
455,Elle mange souvent des fruits au petit déjeuner.,A2
456,"Bien que le temps soit froid, nous avons décidé de faire une promenade.",B2
457,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",A2
458,Le chat dort sur le sofa.,B2
459,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B1
460,"Malgré les critiques, le réalisateur a persisté à suivre sa vision originale pour le film.",B1
461,Le chat dort sur le sofa.,C1
462,Le chat dort sur le sofa.,C1
463,Elle mange souvent des fruits au petit déjeuner.,A1
